,Date,positive_IP_count,pos_discharged_count,pos_deceased_count,current_vent,current_icu
0,2020-03-11,4,0,0.0,0,0
1,2020-03-12,7,0,0.0,0,0
2,2020-03-13,3,0,0.0,0,0
3,2020-03-14,8,0,0.0,0,0
4,2020-03-15,3,0,0.0,0,0
5,2020-03-16,10,0,0.0,0,0
6,2020-03-17,8,0,0.0,0,0
7,2020-03-18,8,0,0.0,0,0
8,2020-03-19,3,1,0.0,0,0
9,2020-03-20,7,1,0.0,0,0
10,2020-03-21,9,1,0.0,0,0
11,2020-03-22,3,7,0.0,0,0
12,2020-03-23,6,2,0.0,0,0
13,2020-03-24,6,3,0.0,0,0
14,2020-03-25,8,3,0.0,0,0
15,2020-03-26,9,3,0.0,0,0
16,2020-03-27,5,4,0.0,0,0
17,2020-03-28,11,3,0.0,0,0
18,2020-03-29,8,3,0.0,0,0
19,2020-03-30,7,1,0.0,0,0
20,2020-03-31,2,4,0.0,0,0
21,2020-04-01,2,6,0.0,0,0
22,2020-04-02,8,8,0.0,0,0
23,2020-04-03,7,11,0.0,0,0
24,2020-04-04,5,7,0.0,0,0
25,2020-04-05,3,5,0.0,0,0
26,2020-04-06,6,11,0.0,0,0
27,2020-04-07,5,15,0.0,0,0
28,2020-04-08,6,8,0.0,0,0
29,2020-04-09,7,7,0.0,0,0
30,2020-04-10,7,9,0.0,0,0
31,2020-04-11,7,6,0.0,0,0
32,2020-04-12,10,8,0.0,0,0
33,2020-04-13,3,10,0.0,0,0
34,2020-04-14,5,3,0.0,0,0
35,2020-04-15,5,4,0.0,0,0
36,2020-04-16,4,4,0.0,0,0
37,2020-04-17,6,6,0.0,0,0
38,2020-04-18,6,3,0.0,0,0
39,2020-04-19,4,5,0.0,0,0
40,2020-04-20,8,8,0.0,0,0
41,2020-04-21,5,4,0.0,0,0
42,2020-04-22,8,4,0.0,0,8
43,2020-04-23,7,11,0.0,0,8
44,2020-04-24,8,2,0.0,0,6
45,2020-04-25,13,4,0.0,0,6
46,2020-04-26,5,8,0.0,0,6
