,confirm_count,death_count,death_rate
3/2/20,1,0,0.0
3/3/20,2,0,0.0
3/4/20,2,0,0.0
3/5/20,3,0,0.0
3/6/20,3,0,0.0
3/7/20,7,0,0.0
3/8/20,10,2,9.389671361502348e-08
3/9/20,13,2,9.389671361502348e-08
3/10/20,15,2,9.389671361502348e-08
3/11/20,24,2,9.389671361502348e-08
3/12/20,30,2,9.389671361502348e-08
3/13/20,50,2,9.389671361502348e-08
3/14/20,76,2,9.389671361502348e-08
3/15/20,100,3,1.4084507042253522e-07
3/16/20,101,3,1.4084507042253522e-07
3/17/20,190,5,2.347417840375587e-07
3/18/20,306,7,3.2863849765258215e-07
3/19/20,432,9,4.225352112676056e-07
3/20/20,564,11,5.164319248826291e-07
3/21/20,763,13,6.103286384976526e-07
3/22/20,1004,13,6.103286384976526e-07
3/23/20,1227,18,8.450704225352112e-07
3/24/20,1412,18,8.450704225352112e-07
3/25/20,1682,23,1.0798122065727699e-06
3/26/20,2357,29,1.3615023474178405e-06
3/27/20,2900,35,1.6431924882629108e-06
3/28/20,3763,54,2.535211267605634e-06
3/29/20,4246,56,2.629107981220657e-06
3/30/20,5473,63,2.9577464788732396e-06
3/31/20,6741,85,3.990610328638497e-06
4/1/20,6956,87,4.084507042253521e-06
4/2/20,9008,164,7.699530516431926e-06
4/3/20,10268,170,7.981220657276995e-06
4/4/20,11537,195,9.154929577464788e-06
4/5/20,12350,221,1.0375586854460094e-05
4/6/20,13324,236,1.107981220657277e-05
4/7/20,14545,283,1.3286384976525821e-05
4/8/20,15456,309,1.4507042253521127e-05
4/9/20,16364,354,1.6619718309859155e-05
4/10/20,17531,390,1.8309859154929577e-05
4/11/20,18494,438,2.056338028169014e-05
4/12/20,19895,461,2.164319248826291e-05
4/13/20,21019,499,2.3427230046948357e-05
