Date,Number of Current All Beds In Use,Number of All Beds Forecast,Number of Current Icu Beds In Use,Number of ICU Beds Forecast,Number of Current Ventilators In Use,Number of Ventilators Forecast
2020-05-20,151.0,151.0,8,8.0,0,6.0
2020-05-21,157.0,158.0,9,21.0,0,11.0
2020-05-22,159.0,161.0,8,32.0,0,16.0
2020-05-23,158.0,162.0,10,43.0,0,20.0
2020-05-24,163.0,161.0,11,53.0,0,24.0
2020-05-25,164.0,159.0,11,62.0,0,27.0
2020-05-26,166.0,157.0,10,69.0,0,30.0
2020-05-27,170.0,155.0,11,76.0,0,33.0
2020-05-28,173.0,152.0,12,83.0,0,36.0
2020-05-29,166.0,150.0,13,88.0,0,38.0
2020-05-30,164.0,148.0,13,93.0,0,40.0
2020-05-31,163.0,146.0,12,97.0,0,42.0
2020-06-01,157.0,145.0,11,101.0,0,43.0
2020-06-02,150.0,144.0,13,104.0,0,44.0
2020-06-03,151.0,144.0,15,107.0,0,46.0
2020-06-04,144.0,145.0,16,110.0,0,47.0
2020-06-05,154.0,146.0,16,112.0,0,48.0
2020-06-06,156.0,147.0,15,115.0,0,49.0
2020-06-07,166.0,149.0,15,117.0,0,50.0
2020-06-08,157.0,152.0,15,119.0,0,51.0
2020-06-09,144.0,155.0,16,122.0,0,52.0
2020-06-10,148.0,159.0,15,124.0,0,53.0
2020-06-11,153.0,163.0,16,127.0,0,54.0
2020-06-12,155.0,168.0,16,130.0,0,55.0
2020-06-13,161.0,174.0,17,133.0,0,56.0
2020-06-14,161.0,179.0,17,136.0,0,58.0
2020-06-15,165.0,185.0,19,139.0,0,59.0
2020-06-16,161.0,192.0,19,143.0,0,61.0
2020-06-17,170.0,199.0,20,147.0,0,62.0
2020-06-18,174.0,207.0,21,151.0,0,64.0
2020-06-19,188.0,215.0,22,155.0,0,66.0
2020-06-20,199.0,223.0,26,160.0,0,68.0
2020-06-21,216.0,232.0,28,165.0,0,70.0
2020-06-22,217.0,241.0,30,171.0,0,72.0
2020-06-23,222.0,250.0,31,176.0,0,75.0
2020-06-24,231.0,260.0,32,182.0,0,77.0
2020-06-25,232.0,270.0,34,188.0,0,80.0
2020-06-26,219.0,280.0,41,195.0,0,82.0
2020-06-27,253.0,291.0,47,202.0,0,85.0
2020-06-28,296.0,302.0,59,209.0,0,88.0
2020-06-29,305.0,314.0,63,217.0,0,91.0
2020-06-30,328.0,325.0,71,224.0,0,95.0
2020-07-01,343.0,337.0,75,233.0,0,98.0
2020-07-02,353.0,349.0,76,241.0,0,102.0
2020-07-03,375.0,361.0,79,250.0,0,105.0
2020-07-04,401.0,374.0,85,259.0,0,109.0
2020-07-05,429.0,386.0,88,268.0,0,113.0
2020-07-06,447.0,399.0,90,277.0,0,117.0
2020-07-07,,412.0,,287.0,,121.0
2020-07-08,,424.0,,297.0,,125.0
2020-07-09,,437.0,,307.0,,129.0
2020-07-10,,450.0,,317.0,,134.0
2020-07-11,,462.0,,328.0,,138.0
2020-07-12,,475.0,,338.0,,143.0
2020-07-13,,487.0,,349.0,,147.0
2020-07-14,,499.0,,360.0,,152.0
2020-07-15,,511.0,,371.0,,156.0
2020-07-16,,522.0,,381.0,,161.0
2020-07-17,,533.0,,392.0,,165.0
2020-07-18,,544.0,,403.0,,170.0
2020-07-19,,554.0,,414.0,,174.0
2020-07-20,,564.0,,424.0,,179.0
2020-07-21,,573.0,,435.0,,183.0
2020-07-22,,581.0,,445.0,,188.0
2020-07-23,,589.0,,455.0,,192.0
2020-07-24,,596.0,,465.0,,196.0
2020-07-25,,603.0,,475.0,,200.0
2020-07-26,,609.0,,484.0,,204.0
2020-07-27,,613.0,,493.0,,208.0
2020-07-28,,617.0,,501.0,,212.0
2020-07-29,,621.0,,509.0,,215.0
2020-07-30,,623.0,,517.0,,218.0
2020-07-31,,624.0,,524.0,,221.0
2020-08-01,,625.0,,530.0,,224.0
2020-08-02,,625.0,,536.0,,227.0
2020-08-03,,623.0,,542.0,,229.0
2020-08-04,,621.0,,546.0,,231.0
2020-08-05,,618.0,,551.0,,233.0
2020-08-06,,614.0,,554.0,,235.0
2020-08-07,,610.0,,557.0,,236.0
