,Date,positive_IP_count,pos_discharged_count,pos_deceased_count,current_vent,current_icu
0,2020-03-11,1.0,0.0,0.0,0,0
1,2020-03-12,0.0,0.0,0.0,0,0
2,2020-03-13,1.0,0.0,0.0,0,0
3,2020-03-14,6.0,0.0,0.0,0,0
4,2020-03-15,2.0,2.0,0.0,0,0
5,2020-03-16,3.0,1.0,0.0,0,0
6,2020-03-17,6.0,0.0,0.0,0,0
7,2020-03-18,1.0,3.0,0.0,0,0
8,2020-03-19,7.0,2.0,0.0,0,0
9,2020-03-20,10.0,2.0,0.0,0,0
10,2020-03-21,9.0,1.0,0.0,0,0
11,2020-03-22,11.0,10.0,0.0,0,0
12,2020-03-23,18.0,3.0,0.0,6,15
13,2020-03-24,14.0,4.0,0.0,13,19
14,2020-03-25,12.0,8.0,0.0,15,18
15,2020-03-26,25.0,7.0,0.0,21,25
16,2020-03-27,21.0,12.0,1.0,27,31
17,2020-03-28,23.0,4.0,0.0,29,40
18,2020-03-29,14.0,9.0,2.0,31,41
19,2020-03-30,22.0,8.0,0.0,30,40
20,2020-03-31,21.0,17.0,4.0,32,41
21,2020-04-01,41.0,11.0,0.0,34,47
22,2020-04-02,27.0,13.0,1.0,36,50
23,2020-04-03,15.0,17.0,0.0,41,58
24,2020-04-04,23.0,21.0,1.0,42,60
25,2020-04-05,17.0,18.0,0.0,43,60
26,2020-04-06,25.0,21.0,0.0,48,65
27,2020-04-07,21.0,28.0,4.0,50,66
28,2020-04-08,25.0,18.0,2.0,48,61
29,2020-04-09,18.0,19.0,1.0,45,62
30,2020-04-10,17.0,20.0,2.0,47,70
31,2020-04-11,13.0,15.0,0.0,49,65
32,2020-04-12,9.0,10.0,1.0,48,65
33,2020-04-13,13.0,20.0,0.0,47,67
34,2020-04-14,11.0,8.0,1.0,47,61
35,2020-04-15,11.0,12.0,1.0,49,61
36,2020-04-16,11.0,12.0,1.0,47,62
37,2020-04-17,3.0,16.0,1.0,45,62
38,2020-04-18,6.0,7.0,0.0,39,61
39,2020-04-19,7.0,12.0,4.0,39,56
40,2020-04-20,17.0,13.0,1.0,37,56
41,2020-04-21,11.0,10.0,0.0,33,57
42,2020-04-22,7.0,15.0,1.0,31,50
43,2020-04-23,2.0,17.0,2.0,31,49
44,2020-04-24,4.0,11.0,1.0,26,46
45,2020-04-25,2.0,7.0,1.0,25,37
46,2020-04-26,7.0,13.0,4.0,24,34
47,2020-04-27,3.0,13.0,1.0,17,37
48,2020-04-28,6.0,5.0,0.0,16,36
49,2020-04-29,10.0,8.0,0.0,14,26
50,2020-04-30,5.0,8.0,3.0,14,24
51,2020-05-01,4.0,13.0,1.0,9,23
52,2020-05-02,4.0,5.0,1.0,6,16
53,2020-05-03,4.0,5.0,0.0,7,18
