,Date,positive_IP_count,pos_discharged_count,pos_deceased_count,current_vent,current_icu
0,2020-03-11,1,0,0.0,0,0
1,2020-03-12,0,0,0.0,0,0
2,2020-03-13,1,0,0.0,0,0
3,2020-03-14,6,0,0.0,0,0
4,2020-03-15,2,3,0.0,0,0
5,2020-03-16,3,3,0.0,0,0
6,2020-03-17,6,0,0.0,0,0
7,2020-03-18,1,3,0.0,0,0
8,2020-03-19,10,2,0.0,0,0
9,2020-03-20,10,2,0.0,0,0
10,2020-03-21,8,2,0.0,0,0
11,2020-03-22,11,10,0.0,0,0
12,2020-03-23,17,3,0.0,0,0
13,2020-03-24,15,5,0.0,0,0
14,2020-03-25,13,8,0.0,0,0
15,2020-03-26,25,8,0.0,0,0
16,2020-03-27,20,13,0.0,0,0
17,2020-03-28,22,6,0.0,0,0
18,2020-03-29,14,10,0.0,0,0
19,2020-03-30,22,9,0.0,0,0
20,2020-03-31,21,16,0.0,0,0
21,2020-04-01,42,13,0.0,0,0
22,2020-04-02,28,12,0.0,0,0
23,2020-04-03,16,23,0.0,0,0
24,2020-04-04,24,20,0.0,0,0
25,2020-04-05,19,18,0.0,0,0
26,2020-04-06,27,20,0.0,0,0
27,2020-04-07,22,34,0.0,0,0
28,2020-04-08,26,19,0.0,0,0
29,2020-04-09,19,21,0.0,0,0
30,2020-04-10,15,21,0.0,0,0
31,2020-04-11,13,20,0.0,0,0
32,2020-04-12,10,10,0.0,0,0
33,2020-04-13,13,20,0.0,0,0
34,2020-04-14,12,8,0.0,0,0
35,2020-04-15,9,13,0.0,0,0
36,2020-04-16,12,12,0.0,0,0
37,2020-04-17,4,15,0.0,0,0
38,2020-04-18,8,7,0.0,0,0
39,2020-04-19,6,13,0.0,0,0
40,2020-04-20,18,11,0.0,0,0
41,2020-04-21,11,10,0.0,0,0
42,2020-04-22,8,13,0.0,0,0
43,2020-04-23,4,18,0.0,0,0
44,2020-04-24,7,9,0.0,0,0
45,2020-04-25,4,6,0.0,0,0
46,2020-04-26,7,13,0.0,0,0
47,2020-04-27,4,12,0.0,0,0
48,2020-04-28,7,5,0.0,0,0
49,2020-04-29,10,6,0.0,0,0
50,2020-04-30,6,7,0.0,0,0
51,2020-05-01,4,13,0.0,0,0
52,2020-05-02,4,5,0.0,0,0
53,2020-05-03,4,5,0.0,0,0
54,2020-05-04,14,9,0.0,0,0
55,2020-05-05,8,8,0.0,0,0
56,2020-05-06,8,10,0.0,0,0
57,2020-05-07,13,8,0.0,0,0
58,2020-05-08,6,15,0.0,0,0
59,2020-05-09,20,1,0.0,0,0
60,2020-05-10,13,2,0.0,0,0
61,2020-05-11,6,7,0.0,0,0
62,2020-05-12,8,8,0.0,0,0
63,2020-05-13,10,7,0.0,0,0
64,2020-05-14,8,5,0.0,0,0
65,2020-05-15,15,9,0.0,0,0
66,2020-05-16,7,4,0.0,0,0
67,2020-05-17,5,2,0.0,0,0
68,2020-05-18,8,4,0.0,0,0
69,2020-05-19,12,13,0.0,0,0
70,2020-05-20,12,8,0.0,0,0
71,2020-05-21,18,12,0.0,0,0
72,2020-05-22,15,13,0.0,0,0
73,2020-05-23,8,9,0.0,0,0
74,2020-05-24,8,3,0.0,0,0
75,2020-05-25,6,4,0.0,0,0
76,2020-05-26,11,9,0.0,0,0
77,2020-05-27,13,9,0.0,0,0
78,2020-05-28,11,8,0.0,0,0
79,2020-05-29,7,15,0.0,0,0
80,2020-05-30,7,10,0.0,0,0
81,2020-05-31,4,6,0.0,0,0
