,Date,positive_IP_count,pos_discharged_count,pos_deceased_count,current_vent,current_icu,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,2020-03-09,0,0,0,0,0,0,0,0
1,2020-03-10,0,0,0,0,0,0,0,0
2,2020-03-11,0,0,0,0,0,0,0,0
3,2020-03-12,0,0,0,0,0,0,0,0
4,2020-03-13,0,0,0,0,0,0,0,0
5,2020-03-14,0,0,0,0,0,0,0,0
6,2020-03-15,0,0,0,0,0,0,0,0
7,2020-03-16,0,0,0,0,0,0,0,0
8,2020-03-17,3,0,0,0,0,3,0,3
9,2020-03-18,0,0,0,0,0,3,0,3
10,2020-03-19,2,1,0,0,0,5,1,4
11,2020-03-20,3,2,0,0,0,8,3,5
12,2020-03-21,1,1,0,0,0,9,4,5
13,2020-03-22,1,1,0,0,0,10,5,5
14,2020-03-23,5,1,0,0,0,15,6,9
15,2020-03-24,2,2,0,0,0,17,8,9
16,2020-03-25,4,1,0,0,0,21,9,12
17,2020-03-26,7,3,0,0,0,28,12,16
18,2020-03-27,5,3,0,0,0,33,15,18
19,2020-03-28,1,3,0,0,0,34,18,16
20,2020-03-29,0,2,0,0,0,34,20,14
21,2020-03-30,1,4,0,0,0,35,24,11
22,2020-03-31,1,3,0,0,0,36,27,9
23,2020-04-01,3,4,0,0,0,39,31,8
24,2020-04-02,2,3,0,0,0,41,34,7
25,2020-04-03,1,2,0,0,0,42,36,6
26,2020-04-04,1,2,0,0,0,43,38,5
27,2020-04-05,2,0,0,0,0,45,38,7
28,2020-04-06,2,0,0,0,0,47,38,9
29,2020-04-07,2,1,0,0,0,49,39,10
30,2020-04-08,1,1,0,0,0,50,40,10
31,2020-04-09,2,1,0,0,0,52,41,11
32,2020-04-10,6,1,0,0,0,58,42,16
33,2020-04-11,2,2,0,0,0,60,44,16
34,2020-04-12,1,0,0,0,0,61,44,17
35,2020-04-13,6,1,0,0,0,67,45,22
36,2020-04-14,0,4,0,0,0,67,49,18
37,2020-04-15,2,1,0,0,0,69,50,19
38,2020-04-16,1,2,0,0,0,70,52,18
39,2020-04-17,0,3,0,0,0,70,55,15
40,2020-04-18,2,1,0,0,0,72,56,16
41,2020-04-19,3,1,0,0,0,75,57,18
42,2020-04-20,1,1,0,0,0,76,58,18
43,2020-04-21,3,0,0,0,0,79,58,21
44,2020-04-22,4,3,0,0,0,83,61,22
45,2020-04-23,5,2,0,0,0,88,63,25
46,2020-04-24,4,4,0,0,0,92,67,25
47,2020-04-25,0,2,0,0,0,92,69,23
48,2020-04-26,5,2,0,0,0,97,71,26
49,2020-04-27,1,1,0,0,0,98,72,26
50,2020-04-28,2,5,0,0,0,100,77,23
51,2020-04-29,1,2,0,0,0,101,79,22
52,2020-04-30,1,1,0,0,0,102,80,22
53,2020-05-01,2,2,0,0,0,104,82,22
54,2020-05-02,1,2,0,0,0,105,84,21
55,2020-05-03,1,2,0,0,0,106,86,20
56,2020-05-04,1,4,0,0,0,107,90,17
