,Date,positive_IP_count,pos_discharged_count,pos_deceased_count,current_vent,current_icu,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,2020-03-11,0,0,0,0,0,0,0,0
1,2020-03-12,0,0,0,0,0,0,0,0
2,2020-03-13,0,0,0,0,0,0,0,0
3,2020-03-14,0,0,0,0,0,0,0,0
4,2020-03-15,0,0,0,0,0,0,0,0
5,2020-03-16,0,0,0,0,0,0,0,0
6,2020-03-17,3,0,0,0,0,3,0,3
7,2020-03-18,0,2,0,0,0,3,2,1
8,2020-03-19,0,1,0,0,0,3,3,0
9,2020-03-20,0,0,0,0,0,3,3,0
10,2020-03-21,2,0,0,0,0,5,3,2
11,2020-03-22,0,0,0,0,0,5,3,2
12,2020-03-23,5,0,0,0,0,10,3,7
13,2020-03-24,1,1,0,0,0,11,4,7
14,2020-03-25,5,2,0,0,0,16,6,10
15,2020-03-26,2,1,0,0,0,18,7,11
16,2020-03-27,1,4,0,0,0,19,11,8
17,2020-03-28,1,0,0,0,0,20,11,9
18,2020-03-29,1,0,0,0,0,21,11,10
19,2020-03-30,0,0,0,0,0,21,11,10
20,2020-03-31,2,1,0,0,0,23,12,11
21,2020-04-01,2,0,0,0,0,25,12,13
22,2020-04-02,2,0,0,0,0,27,12,15
23,2020-04-03,3,1,0,0,0,30,13,17
24,2020-04-04,1,3,0,0,0,31,16,15
25,2020-04-05,1,2,0,0,0,32,18,14
26,2020-04-06,2,2,0,0,0,34,20,14
27,2020-04-07,3,1,0,0,0,37,21,16
28,2020-04-08,2,1,0,0,0,39,22,17
29,2020-04-09,3,5,0,0,0,42,27,15
30,2020-04-10,3,4,0,0,0,45,31,14
31,2020-04-11,3,0,0,0,0,48,31,17
32,2020-04-12,2,0,0,0,0,50,31,19
33,2020-04-13,1,2,0,0,0,51,33,18
34,2020-04-14,2,0,0,0,0,53,33,20
35,2020-04-15,1,4,0,0,0,54,37,17
36,2020-04-16,1,0,0,0,0,55,37,18
37,2020-04-17,0,2,0,0,0,55,39,16
38,2020-04-18,0,1,0,0,0,55,40,15
39,2020-04-19,1,1,0,0,0,56,41,15
40,2020-04-20,0,0,0,0,0,56,41,15
41,2020-04-21,0,1,0,0,0,56,42,14
42,2020-04-22,1,0,0,0,0,57,42,15
43,2020-04-23,1,0,0,0,0,58,42,16
44,2020-04-24,2,1,0,0,0,60,43,17
45,2020-04-25,0,0,0,0,0,60,43,17
46,2020-04-26,0,1,0,0,0,60,44,16
47,2020-04-27,1,0,0,0,0,61,44,17
48,2020-04-28,1,1,0,0,0,62,45,17
49,2020-04-29,1,0,0,0,0,63,45,18
50,2020-04-30,0,1,0,0,0,63,46,17
51,2020-05-01,0,2,0,0,0,63,48,15
52,2020-05-02,0,0,0,0,0,63,48,15
53,2020-05-03,1,0,0,0,0,64,48,16
54,2020-05-04,4,2,0,0,0,68,50,18
55,2020-05-05,1,1,0,0,0,69,51,18
56,2020-05-06,3,3,0,0,0,72,54,18
57,2020-05-07,9,1,0,0,0,81,55,26
58,2020-05-08,1,2,0,0,0,82,57,25
59,2020-05-09,3,0,0,0,0,85,57,28
60,2020-05-10,0,0,0,0,0,85,57,28
61,2020-05-11,1,0,0,0,0,86,57,29
62,2020-05-12,1,1,0,0,0,87,58,29
63,2020-05-13,3,2,0,0,0,90,60,30
64,2020-05-14,1,1,0,0,0,91,61,30
65,2020-05-15,2,2,0,0,0,93,63,30
66,2020-05-16,2,1,0,0,0,95,64,31
67,2020-05-17,0,0,0,0,0,95,64,31
68,2020-05-18,0,0,0,0,0,95,64,31
69,2020-05-19,3,1,0,0,0,98,65,33
70,2020-05-20,0,1,0,0,0,98,66,32
71,2020-05-21,3,1,0,0,0,101,67,34
72,2020-05-22,0,1,0,0,0,101,68,33
73,2020-05-23,0,0,0,0,0,101,68,33
74,2020-05-24,0,0,0,0,0,101,68,33
75,2020-05-25,0,0,0,0,0,101,68,33
76,2020-05-26,1,1,0,0,0,102,69,33
77,2020-05-27,2,1,0,0,0,104,70,34
78,2020-05-28,1,0,0,0,0,105,70,35
79,2020-05-29,0,1,0,0,0,105,71,34
80,2020-05-30,0,0,0,0,0,105,71,34
81,2020-05-31,0,1,0,0,0,105,72,33
82,2020-06-01,0,0,0,0,0,105,72,33
83,2020-06-02,0,0,0,0,0,105,72,33
84,2020-06-03,0,3,0,0,0,105,75,30
85,2020-06-04,0,2,0,0,0,105,77,28
86,2020-06-05,0,1,0,0,0,105,78,27
87,2020-06-06,0,3,0,0,0,105,81,24
88,2020-06-07,0,0,0,0,0,105,81,24
89,2020-06-08,0,2,0,0,0,105,83,22
90,2020-06-09,1,4,0,0,0,106,87,19
91,2020-06-10,2,3,0,0,0,108,90,18
92,2020-06-11,0,3,0,0,0,108,93,15
93,2020-06-12,2,2,0,0,0,110,95,15
94,2020-06-13,2,0,0,0,0,112,95,17
95,2020-06-14,1,0,0,0,0,113,95,18
96,2020-06-15,3,3,0,0,0,116,98,18
97,2020-06-16,0,2,0,0,0,116,100,16
98,2020-06-17,2,4,0,0,0,118,104,14
99,2020-06-18,4,3,0,0,0,122,107,15
100,2020-06-19,4,3,0,0,0,126,110,16
101,2020-06-20,3,2,0,0,0,129,112,17
102,2020-06-21,4,1,0,0,0,133,113,20
103,2020-06-22,4,1,0,0,0,137,114,23
104,2020-06-23,4,3,0,0,0,141,117,24
105,2020-06-24,2,3,0,0,0,143,120,23
106,2020-06-25,7,4,0,0,0,150,124,26
107,2020-06-26,2,5,0,0,0,152,129,23
108,2020-06-27,6,3,0,0,0,158,132,26
109,2020-06-28,8,2,0,0,0,166,134,32
110,2020-06-29,3,2,0,0,0,169,136,33
111,2020-06-30,5,2,0,0,0,174,138,36
112,2020-07-01,9,4,0,0,0,183,142,41
113,2020-07-02,5,4,0,0,0,188,146,42
114,2020-07-03,7,4,0,0,0,195,150,45
115,2020-07-04,10,2,0,0,0,205,152,53
116,2020-07-05,9,4,0,0,0,214,156,58
117,2020-07-06,9,6,0,0,0,223,162,61
118,2020-07-07,7,10,0,0,0,230,172,58
119,2020-07-08,4,2,0,0,0,234,174,60
120,2020-07-09,9,6,0,0,0,243,180,63
121,2020-07-10,9,10,0,0,0,252,190,62
122,2020-07-11,9,3,0,0,0,261,193,68
123,2020-07-12,6,8,0,0,0,267,201,66
124,2020-07-13,17,9,0,0,0,284,210,74
125,2020-07-14,9,6,0,0,0,293,216,77
126,2020-07-15,10,8,0,0,0,303,224,79
127,2020-07-16,5,14,0,0,0,308,238,70
128,2020-07-17,12,7,0,0,0,320,245,75
129,2020-07-18,6,2,0,0,0,326,247,79
130,2020-07-19,5,6,0,0,0,331,253,78
131,2020-07-20,7,8,0,0,0,338,261,77
132,2020-07-21,7,10,0,0,0,345,271,74
133,2020-07-22,7,9,0,0,0,352,280,72
134,2020-07-23,9,11,0,0,0,361,291,70
135,2020-07-24,12,10,0,0,0,373,301,72
136,2020-07-25,7,10,0,0,0,380,311,69
137,2020-07-26,10,3,0,0,0,390,314,76
138,2020-07-27,3,8,0,0,0,393,322,71
139,2020-07-28,5,17,0,0,0,398,339,59
140,2020-07-29,11,14,0,0,0,409,353,56
141,2020-07-30,8,11,0,0,0,417,364,53
142,2020-07-31,9,6,0,0,0,426,370,56
143,2020-08-01,4,6,0,0,0,430,376,54
144,2020-08-02,2,5,0,0,0,432,381,51
145,2020-08-03,7,4,0,0,0,439,385,54
146,2020-08-04,7,8,0,0,0,446,393,53
147,2020-08-05,6,7,0,0,0,452,400,52
148,2020-08-06,8,7,0,0,0,460,407,53
149,2020-08-07,8,11,0,0,0,468,418,50
150,2020-08-08,4,7,0,0,0,472,425,47
151,2020-08-09,3,2,0,0,0,475,427,48
152,2020-08-10,7,8,0,0,0,482,435,47
153,2020-08-11,5,5,0,0,0,487,440,47
154,2020-08-12,7,7,0,0,0,494,447,47
155,2020-08-13,3,5,0,0,0,497,452,45
156,2020-08-14,4,9,0,0,0,501,461,40
157,2020-08-15,3,1,0,0,0,504,462,42
158,2020-08-16,0,2,0,0,0,504,464,40
159,2020-08-17,2,1,0,0,0,506,465,41
160,2020-08-18,3,3,0,0,0,509,468,41
161,2020-08-19,2,8,0,0,0,511,476,35
162,2020-08-20,4,6,0,0,0,515,482,33
163,2020-08-21,8,6,0,0,0,523,488,35
164,2020-08-22,2,5,0,0,0,525,493,32
165,2020-08-23,2,4,0,0,0,527,497,30
166,2020-08-24,4,1,0,0,0,531,498,33
167,2020-08-25,1,4,0,0,0,532,502,30
168,2020-08-26,4,4,0,0,0,536,506,30
169,2020-08-27,1,7,0,0,0,537,513,24
170,2020-08-28,3,2,0,0,0,540,515,25
171,2020-08-29,2,5,0,0,0,542,520,22
172,2020-08-30,3,2,0,0,0,545,522,23
173,2020-08-31,5,5,0,0,0,550,527,23
174,2020-09-01,4,8,0,0,0,554,535,19
175,2020-09-02,2,5,0,0,0,556,540,16
176,2020-09-03,3,4,0,0,0,559,544,15
177,2020-09-04,4,4,0,0,2,563,548,15
178,2020-09-05,0,0,0,0,2,563,548,15
179,2020-09-06,3,4,0,0,3,566,552,14
180,2020-09-07,5,1,0,0,5,571,553,18
181,2020-09-08,2,4,0,0,5,573,557,16
182,2020-09-09,2,3,0,0,5,575,560,15
183,2020-09-10,1,2,0,0,5,576,562,14
184,2020-09-11,1,0,0,0,5,577,562,15
185,2020-09-12,0,0,0,0,5,577,562,15
186,2020-09-13,1,1,0,0,5,578,563,15
187,2020-09-14,0,2,0,0,5,578,565,13
188,2020-09-15,1,4,0,0,5,579,569,10
189,2020-09-16,0,0,0,0,4,579,569,10
190,2020-09-17,2,2,0,0,4,581,571,10
191,2020-09-18,1,0,0,0,4,582,571,11
192,2020-09-19,2,1,0,0,4,584,572,12
193,2020-09-20,2,4,0,0,4,586,576,10
194,2020-09-21,1,4,0,0,4,587,580,7
195,2020-09-22,3,0,0,0,4,590,580,10
196,2020-09-23,5,0,0,0,4,595,580,15
197,2020-09-24,1,1,0,0,4,596,581,15
198,2020-09-25,1,4,0,0,4,597,585,12
199,2020-09-26,0,0,0,0,3,597,585,12
200,2020-09-27,3,1,0,0,3,600,586,14
201,2020-09-28,4,2,0,0,4,604,588,16
202,2020-09-29,0,4,0,0,4,604,592,12
203,2020-09-30,0,4,0,0,4,604,596,8
204,2020-10-01,1,2,0,0,3,605,598,7
205,2020-10-02,2,0,0,0,3,607,598,9
206,2020-10-03,1,4,0,0,3,608,602,6
207,2020-10-04,0,1,0,0,3,608,603,5
208,2020-10-05,1,0,0,0,2,609,603,6
209,2020-10-06,1,1,0,0,2,610,604,6
210,2020-10-07,0,1,0,0,2,610,605,5
211,2020-10-08,1,1,0,0,2,611,606,5
212,2020-10-09,1,2,0,0,2,612,608,4
213,2020-10-10,0,1,0,0,2,612,609,3
214,2020-10-11,1,1,0,0,2,613,610,3
215,2020-10-12,2,0,0,0,1,615,610,5
216,2020-10-13,2,1,0,0,1,617,611,6
217,2020-10-14,3,1,0,0,0,620,612,8
218,2020-10-15,2,3,0,0,0,622,615,7
219,2020-10-16,2,0,0,0,0,624,615,9
220,2020-10-17,0,2,0,0,0,624,617,7
221,2020-10-18,3,2,0,0,0,627,619,8
222,2020-10-19,5,3,0,0,0,632,622,10
223,2020-10-20,1,1,0,0,0,633,623,10
224,2020-10-21,1,3,0,0,1,634,626,8
225,2020-10-22,4,1,0,0,1,638,627,11
226,2020-10-23,1,3,0,0,0,639,630,9
227,2020-10-24,0,1,0,0,0,639,631,8
228,2020-10-25,5,2,0,0,0,644,633,11
229,2020-10-26,1,2,0,0,0,645,635,10
230,2020-10-27,0,1,0,0,0,645,636,9
231,2020-10-28,1,3,0,0,0,646,639,7
232,2020-10-29,3,2,0,0,0,649,641,8
233,2020-10-30,2,3,0,0,0,651,644,7
234,2020-10-31,4,0,0,0,0,655,644,11
235,2020-11-01,2,1,0,0,0,657,645,12
236,2020-11-02,1,1,0,0,0,658,646,12
237,2020-11-03,1,4,0,0,0,659,650,9
238,2020-11-04,3,1,0,0,0,662,651,11
239,2020-11-05,3,4,0,0,0,665,655,10
240,2020-11-06,3,2,0,0,0,668,657,11
241,2020-11-07,1,3,0,0,0,669,660,9
242,2020-11-08,0,2,0,0,0,669,662,7
243,2020-11-09,2,3,0,0,0,671,665,6
244,2020-11-10,2,0,0,0,0,673,665,8
245,2020-11-11,5,1,0,0,0,678,666,12
246,2020-11-12,2,3,0,0,0,680,669,11
247,2020-11-13,1,4,0,0,0,681,673,8
248,2020-11-14,2,2,0,0,0,683,675,8
249,2020-11-15,1,3,0,0,0,684,678,6
250,2020-11-16,3,0,0,0,1,687,678,9
251,2020-11-17,3,4,0,0,1,690,682,8
252,2020-11-18,7,1,0,0,1,697,683,14
253,2020-11-19,0,5,0,0,1,697,688,9
254,2020-11-20,4,1,0,0,1,701,689,12
255,2020-11-21,3,2,0,0,1,704,691,13
256,2020-11-22,1,2,0,0,1,705,693,12
257,2020-11-23,3,1,0,0,1,708,694,14
258,2020-11-24,4,2,0,0,1,712,696,16
259,2020-11-25,2,2,0,0,1,714,698,16
260,2020-11-26,5,3,0,0,2,719,701,18
261,2020-11-27,4,1,0,0,2,723,702,21
262,2020-11-28,3,0,0,0,2,726,702,24
263,2020-11-29,3,3,0,0,2,729,705,24
264,2020-11-30,5,6,0,0,2,734,711,23
265,2020-12-01,3,1,0,0,3,737,712,25
266,2020-12-02,6,4,0,0,3,743,716,27
267,2020-12-03,6,3,0,0,4,749,719,30
268,2020-12-04,3,6,0,0,4,752,725,27
269,2020-12-05,1,5,0,0,5,753,730,23
270,2020-12-06,3,0,0,0,4,756,730,26
271,2020-12-07,2,4,0,0,4,758,734,24
272,2020-12-08,5,2,0,0,4,763,736,27
273,2020-12-09,3,2,0,0,4,766,738,28
274,2020-12-10,2,1,0,0,5,768,739,29
275,2020-12-11,3,3,0,0,5,771,742,29
276,2020-12-12,3,3,0,0,4,774,745,29
277,2020-12-13,7,4,0,0,6,781,749,32
278,2020-12-14,2,4,0,0,6,783,753,30
279,2020-12-15,4,6,0,0,7,787,759,28
280,2020-12-16,4,6,0,0,7,791,765,26
281,2020-12-17,6,3,0,0,7,797,768,29
282,2020-12-18,5,1,0,0,7,802,769,33
283,2020-12-19,3,4,0,0,7,805,773,32
284,2020-12-20,6,2,0,0,7,811,775,36
285,2020-12-21,2,2,0,0,7,813,777,36
286,2020-12-22,1,7,0,0,7,814,784,30
287,2020-12-23,7,5,0,0,8,821,789,32
288,2020-12-24,4,7,0,0,6,825,796,29
