Date,Number of Current All Beds In Use,Number of All Beds Forecast,Number of Current Icu Beds In Use,Number of ICU Beds Forecast,Number of Current Ventilators In Use,Number of Ventilators Forecast
2020-10-01,43.0,43.0,14,14.0,0,0.0
2020-10-02,49.0,45.0,13,14.0,0,2.0
2020-10-03,53.0,47.0,12,14.0,0,3.0
2020-10-04,51.0,48.0,12,14.0,0,5.0
2020-10-05,54.0,49.0,13,14.0,0,6.0
2020-10-06,48.0,49.0,14,14.0,0,7.0
2020-10-07,48.0,49.0,14,14.0,0,8.0
2020-10-08,45.0,49.0,14,13.0,0,9.0
2020-10-09,47.0,49.0,15,13.0,0,10.0
2020-10-10,50.0,49.0,15,13.0,0,11.0
2020-10-11,57.0,49.0,14,13.0,0,12.0
2020-10-12,59.0,49.0,14,13.0,0,13.0
2020-10-13,48.0,49.0,14,13.0,0,13.0
2020-10-14,51.0,49.0,15,13.0,0,14.0
2020-10-15,49.0,49.0,14,13.0,0,14.0
2020-10-16,54.0,49.0,14,13.0,0,15.0
2020-10-17,48.0,49.0,14,13.0,0,15.0
2020-10-18,51.0,49.0,13,13.0,0,16.0
2020-10-19,50.0,49.0,13,12.0,0,16.0
2020-10-20,51.0,50.0,13,12.0,0,16.0
2020-10-21,54.0,50.0,12,12.0,0,17.0
2020-10-22,51.0,51.0,12,12.0,0,17.0
2020-10-23,55.0,51.0,12,12.0,0,17.0
2020-10-24,54.0,52.0,12,12.0,0,18.0
2020-10-25,56.0,53.0,11,12.0,0,18.0
2020-10-26,63.0,54.0,11,12.0,0,18.0
2020-10-27,58.0,55.0,10,12.0,0,19.0
2020-10-28,58.0,56.0,7,12.0,0,19.0
2020-10-29,52.0,57.0,8,12.0,0,19.0
2020-10-30,49.0,58.0,7,12.0,0,20.0
2020-10-31,53.0,59.0,7,12.0,0,20.0
2020-11-01,55.0,60.0,7,12.0,0,20.0
2020-11-02,59.0,62.0,7,12.0,0,21.0
2020-11-03,58.0,63.0,7,12.0,0,21.0
2020-11-04,59.0,65.0,7,13.0,0,22.0
2020-11-05,62.0,66.0,9,13.0,0,22.0
2020-11-06,71.0,68.0,9,13.0,0,23.0
2020-11-07,69.0,70.0,9,13.0,0,23.0
2020-11-08,72.0,71.0,10,13.0,0,24.0
2020-11-09,76.0,73.0,10,13.0,0,24.0
2020-11-10,77.0,75.0,10,13.0,0,25.0
2020-11-11,85.0,77.0,8,13.0,0,25.0
2020-11-12,83.0,79.0,9,14.0,0,26.0
2020-11-13,83.0,81.0,11,14.0,0,26.0
2020-11-14,72.0,83.0,11,14.0,0,27.0
2020-11-15,76.0,85.0,12,14.0,0,28.0
2020-11-16,78.0,87.0,12,14.0,0,28.0
2020-11-17,77.0,89.0,11,15.0,0,29.0
2020-11-18,77.0,91.0,11,15.0,0,30.0
2020-11-19,78.0,93.0,11,15.0,0,30.0
2020-11-20,78.0,96.0,12,15.0,0,31.0
2020-11-21,83.0,98.0,14,16.0,0,32.0
2020-11-22,85.0,100.0,14,16.0,0,32.0
2020-11-23,99.0,102.0,15,16.0,0,33.0
2020-11-24,92.0,105.0,15,17.0,0,34.0
2020-11-25,93.0,107.0,17,17.0,0,35.0
2020-11-26,91.0,109.0,17,17.0,0,36.0
2020-11-27,105.0,111.0,16,18.0,0,36.0
2020-11-28,118.0,114.0,16,18.0,0,37.0
2020-11-29,124.0,116.0,17,18.0,0,38.0
2020-11-30,126.0,118.0,18,19.0,0,39.0
2020-12-01,128.0,120.0,18,19.0,0,40.0
2020-12-02,122.0,123.0,19,19.0,0,41.0
2020-12-03,118.0,125.0,19,20.0,0,41.0
2020-12-04,111.0,127.0,20,20.0,0,42.0
2020-12-05,127.0,129.0,21,20.0,0,43.0
2020-12-06,138.0,131.0,23,21.0,0,44.0
2020-12-07,149.0,133.0,30,21.0,0,45.0
2020-12-08,149.0,135.0,32,21.0,0,46.0
2020-12-09,150.0,137.0,33,22.0,0,47.0
2020-12-10,153.0,139.0,34,22.0,0,47.0
2020-12-11,155.0,141.0,37,23.0,0,48.0
2020-12-12,148.0,143.0,37,23.0,0,49.0
2020-12-13,161.0,145.0,40,23.0,0,50.0
2020-12-14,168.0,146.0,39,24.0,0,51.0
2020-12-15,164.0,148.0,37,24.0,0,51.0
2020-12-16,163.0,150.0,36,25.0,0,52.0
2020-12-17,166.0,151.0,38,25.0,0,53.0
2020-12-18,158.0,152.0,37,25.0,0,54.0
2020-12-19,162.0,154.0,38,26.0,0,55.0
2020-12-20,153.0,155.0,36,26.0,0,55.0
2020-12-21,153.0,156.0,37,26.0,0,56.0
2020-12-22,141.0,157.0,34,27.0,0,57.0
2020-12-23,147.0,158.0,34,27.0,0,57.0
2020-12-24,138.0,159.0,32,28.0,0,58.0
2020-12-25,141.0,160.0,35,28.0,0,59.0
2020-12-26,150.0,161.0,34,28.0,0,59.0
2020-12-27,153.0,161.0,32,29.0,0,60.0
2020-12-28,150.0,162.0,32,29.0,0,60.0
2020-12-29,154.0,162.0,31,29.0,0,61.0
2020-12-30,158.0,162.0,30,29.0,0,61.0
2020-12-31,152.0,163.0,31,30.0,0,62.0
2021-01-01,156.0,163.0,30,30.0,0,62.0
2021-01-02,171.0,163.0,32,30.0,0,62.0
2021-01-03,165.0,163.0,33,31.0,0,63.0
2021-01-04,167.0,163.0,36,31.0,0,63.0
2021-01-05,165.0,163.0,34,31.0,0,63.0
2021-01-06,167.0,162.0,32,31.0,0,64.0
2021-01-07,167.0,162.0,32,31.0,0,64.0
2021-01-08,159.0,161.0,31,32.0,0,64.0
2021-01-09,159.0,161.0,33,32.0,0,64.0
2021-01-10,158.0,160.0,33,32.0,0,64.0
2021-01-11,161.0,160.0,30,32.0,0,64.0
2021-01-12,153.0,159.0,29,32.0,0,65.0
2021-01-13,162.0,158.0,28,32.0,0,65.0
2021-01-14,158.0,157.0,27,32.0,0,65.0
2021-01-15,156.0,156.0,27,33.0,0,65.0
2021-01-16,163.0,155.0,28,33.0,0,64.0
2021-01-17,167.0,154.0,28,33.0,0,64.0
2021-01-18,164.0,153.0,27,33.0,0,64.0
2021-01-19,148.0,152.0,26,33.0,0,64.0
2021-01-20,139.0,151.0,30,33.0,0,64.0
2021-01-21,142.0,150.0,28,33.0,0,64.0
2021-01-22,132.0,148.0,27,33.0,0,64.0
2021-01-23,135.0,147.0,24,33.0,0,63.0
2021-01-24,143.0,146.0,24,33.0,0,63.0
2021-01-25,149.0,144.0,24,33.0,0,63.0
2021-01-26,147.0,143.0,26,33.0,0,62.0
2021-01-27,155.0,142.0,26,33.0,0,62.0
2021-01-28,149.0,140.0,25,33.0,0,62.0
2021-01-29,141.0,139.0,25,32.0,0,61.0
2021-01-30,134.0,137.0,24,32.0,0,61.0
2021-01-31,134.0,136.0,26,32.0,0,60.0
2021-02-01,125.0,134.0,30,32.0,0,60.0
2021-02-02,112.0,133.0,30,32.0,0,60.0
2021-02-03,125.0,131.0,28,32.0,0,59.0
2021-02-04,114.0,130.0,27,32.0,0,59.0
2021-02-05,111.0,128.0,28,32.0,0,58.0
2021-02-06,116.0,127.0,28,31.0,0,58.0
2021-02-07,118.0,126.0,28,31.0,0,57.0
2021-02-08,123.0,124.0,29,31.0,0,57.0
2021-02-09,127.0,123.0,29,31.0,0,56.0
2021-02-10,130.0,121.0,29,31.0,0,56.0
2021-02-11,131.0,120.0,30,31.0,0,55.0
2021-02-12,128.0,119.0,31,30.0,0,55.0
2021-02-13,128.0,117.0,31,30.0,0,54.0
2021-02-14,131.0,116.0,28,30.0,0,54.0
2021-02-15,132.0,115.0,28,30.0,0,53.0
2021-02-16,128.0,113.0,28,30.0,0,53.0
2021-02-17,131.0,112.0,28,29.0,0,52.0
2021-02-18,128.0,111.0,27,29.0,0,52.0
2021-02-19,113.0,110.0,26,29.0,0,51.0
2021-02-20,113.0,109.0,24,29.0,0,51.0
2021-02-21,111.0,107.0,21,28.0,0,50.0
2021-02-22,103.0,106.0,20,28.0,0,49.0
2021-02-23,98.0,105.0,18,28.0,0,49.0
2021-02-24,97.0,104.0,17,28.0,0,48.0
2021-02-25,94.0,103.0,18,28.0,0,48.0
2021-02-26,95.0,102.0,20,27.0,0,48.0
2021-02-27,98.0,101.0,22,27.0,0,47.0
2021-02-28,104.0,100.0,22,27.0,0,47.0
2021-03-01,103.0,99.0,22,27.0,0,46.0
2021-03-02,88.0,98.0,21,27.0,0,46.0
2021-03-03,97.0,98.0,21,26.0,0,45.0
2021-03-04,101.0,97.0,19,26.0,0,45.0
2021-03-05,93.0,96.0,19,26.0,0,44.0
2021-03-06,97.0,95.0,17,26.0,0,44.0
2021-03-07,94.0,94.0,17,25.0,0,43.0
2021-03-08,89.0,94.0,14,25.0,0,43.0
2021-03-09,87.0,93.0,15,25.0,0,43.0
2021-03-10,89.0,92.0,14,25.0,0,42.0
2021-03-11,85.0,92.0,12,25.0,0,42.0
2021-03-12,85.0,91.0,12,24.0,0,42.0
2021-03-13,82.0,91.0,11,24.0,0,41.0
2021-03-14,86.0,90.0,11,24.0,0,41.0
2021-03-15,94.0,89.0,10,24.0,0,41.0
2021-03-16,92.0,89.0,11,24.0,0,40.0
