Date,Number of Current All Beds In Use,Number of All Beds Forecast,Number of Current Icu Beds In Use,Number of ICU Beds Forecast,Number of Current Ventilators In Use,Number of Ventilators Forecast
2020-10-15,8.0,8.0,1,1.0,0,1.0
2020-10-16,7.0,9.0,1,2.0,0,2.0
2020-10-17,5.0,9.0,1,2.0,0,2.0
2020-10-18,5.0,9.0,1,2.0,0,2.0
2020-10-19,6.0,10.0,1,2.0,0,2.0
2020-10-20,5.0,10.0,1,2.0,0,2.0
2020-10-21,5.0,10.0,1,2.0,0,2.0
2020-10-22,7.0,11.0,2,2.0,0,2.0
2020-10-23,10.0,11.0,2,2.0,0,2.0
2020-10-24,9.0,11.0,2,2.0,0,2.0
2020-10-25,7.0,11.0,2,3.0,0,2.0
2020-10-26,9.0,12.0,3,3.0,0,2.0
2020-10-27,9.0,12.0,3,3.0,0,2.0
2020-10-28,10.0,12.0,3,3.0,0,2.0
2020-10-29,11.0,13.0,3,3.0,0,2.0
2020-10-30,10.0,13.0,3,3.0,0,2.0
2020-10-31,10.0,13.0,3,3.0,0,2.0
2020-11-01,10.0,13.0,3,3.0,0,2.0
2020-11-02,12.0,14.0,3,3.0,0,2.0
2020-11-03,14.0,14.0,3,3.0,0,2.0
2020-11-04,12.0,14.0,3,3.0,0,2.0
2020-11-05,12.0,15.0,4,4.0,0,2.0
2020-11-06,13.0,15.0,5,4.0,0,2.0
2020-11-07,13.0,15.0,6,4.0,0,3.0
2020-11-08,18.0,15.0,5,4.0,0,3.0
2020-11-09,21.0,16.0,6,4.0,0,3.0
2020-11-10,15.0,16.0,6,4.0,0,3.0
2020-11-11,12.0,16.0,6,4.0,0,3.0
2020-11-12,11.0,17.0,5,4.0,0,3.0
2020-11-13,12.0,17.0,5,4.0,0,3.0
2020-11-14,12.0,17.0,7,4.0,0,3.0
2020-11-15,11.0,17.0,6,4.0,0,3.0
2020-11-16,14.0,18.0,5,5.0,0,3.0
2020-11-17,15.0,18.0,5,5.0,0,3.0
2020-11-18,14.0,18.0,5,5.0,0,3.0
2020-11-19,15.0,19.0,6,5.0,0,3.0
2020-11-20,17.0,19.0,5,5.0,0,3.0
2020-11-21,16.0,19.0,6,5.0,0,3.0
2020-11-22,18.0,19.0,5,5.0,0,3.0
2020-11-23,19.0,20.0,7,5.0,0,3.0
2020-11-24,22.0,20.0,8,5.0,0,3.0
2020-11-25,24.0,20.0,7,5.0,0,3.0
2020-11-26,25.0,21.0,7,5.0,0,3.0
2020-11-27,30.0,21.0,8,5.0,0,3.0
2020-11-28,32.0,21.0,8,6.0,0,4.0
2020-11-29,33.0,21.0,9,6.0,0,4.0
2020-11-30,28.0,22.0,9,6.0,0,4.0
2020-12-01,27.0,22.0,9,6.0,0,4.0
2020-12-02,27.0,22.0,8,6.0,0,4.0
2020-12-03,25.0,23.0,8,6.0,0,4.0
2020-12-04,24.0,23.0,7,6.0,0,4.0
2020-12-05,25.0,23.0,6,6.0,0,4.0
2020-12-06,25.0,23.0,5,6.0,0,4.0
2020-12-07,26.0,24.0,5,6.0,0,4.0
2020-12-08,25.0,24.0,4,6.0,0,4.0
2020-12-09,27.0,24.0,4,6.0,0,4.0
2020-12-10,26.0,25.0,4,7.0,0,4.0
2020-12-11,22.0,25.0,4,7.0,0,4.0
2020-12-12,23.0,25.0,5,7.0,0,4.0
2020-12-13,20.0,25.0,5,7.0,0,4.0
2020-12-14,18.0,26.0,5,7.0,0,4.0
2020-12-15,18.0,26.0,6,7.0,0,4.0
2020-12-16,19.0,26.0,6,7.0,0,4.0
2020-12-17,23.0,26.0,5,7.0,0,4.0
2020-12-18,25.0,27.0,5,7.0,0,5.0
2020-12-19,22.0,27.0,5,7.0,0,5.0
2020-12-20,,27.0,,7.0,,5.0
2020-12-21,,28.0,,7.0,,5.0
2020-12-22,,28.0,,8.0,,5.0
2020-12-23,,28.0,,8.0,,5.0
2020-12-24,,28.0,,8.0,,5.0
2020-12-25,,29.0,,8.0,,5.0
2020-12-26,,29.0,,8.0,,5.0
2020-12-27,,29.0,,8.0,,5.0
2020-12-28,,29.0,,8.0,,5.0
2020-12-29,,30.0,,8.0,,5.0
2020-12-30,,30.0,,8.0,,5.0
2020-12-31,,30.0,,8.0,,5.0
2021-01-01,,31.0,,8.0,,5.0
2021-01-02,,31.0,,8.0,,5.0
