Date,Number of Current All Beds In Use,Number of All Beds Forecast,Number of Current Icu Beds In Use,Number of ICU Beds Forecast,Number of Current Ventilators In Use,Number of Ventilators Forecast
2020-10-15,2.0,2.0,0,0.0,0,0.0
2020-10-16,2.0,3.0,0,1.0,0,1.0
2020-10-17,2.0,3.0,0,1.0,0,1.0
2020-10-18,2.0,3.0,0,1.0,0,1.0
2020-10-19,2.0,3.0,0,1.0,0,1.0
2020-10-20,1.0,3.0,0,1.0,0,1.0
2020-10-21,1.0,4.0,0,1.0,0,1.0
2020-10-22,1.0,4.0,0,1.0,0,1.0
2020-10-23,3.0,4.0,0,1.0,0,1.0
2020-10-24,3.0,4.0,0,1.0,0,1.0
2020-10-25,2.0,4.0,0,1.0,0,1.0
2020-10-26,2.0,4.0,0,1.0,0,1.0
2020-10-27,2.0,4.0,0,1.0,0,1.0
2020-10-28,1.0,4.0,0,1.0,0,1.0
2020-10-29,2.0,5.0,0,1.0,0,1.0
2020-10-30,3.0,5.0,0,1.0,0,1.0
2020-10-31,3.0,5.0,0,1.0,0,1.0
2020-11-01,3.0,5.0,0,1.0,0,1.0
2020-11-02,2.0,5.0,0,1.0,0,1.0
2020-11-03,2.0,5.0,0,1.0,0,1.0
2020-11-04,2.0,5.0,0,1.0,0,1.0
2020-11-05,1.0,5.0,0,1.0,0,1.0
2020-11-06,1.0,5.0,0,1.0,0,1.0
2020-11-07,5.0,5.0,0,2.0,0,1.0
2020-11-08,7.0,5.0,0,2.0,0,1.0
2020-11-09,7.0,5.0,0,2.0,0,1.0
2020-11-10,6.0,5.0,0,2.0,0,1.0
2020-11-11,8.0,6.0,0,2.0,0,1.0
2020-11-12,8.0,6.0,0,2.0,0,1.0
2020-11-13,5.0,6.0,0,2.0,0,1.0
2020-11-14,6.0,6.0,0,2.0,0,1.0
2020-11-15,7.0,6.0,0,2.0,0,1.0
2020-11-16,10.0,6.0,0,2.0,0,1.0
2020-11-17,7.0,6.0,0,2.0,0,1.0
2020-11-18,8.0,6.0,0,2.0,0,1.0
2020-11-19,9.0,6.0,0,2.0,0,1.0
2020-11-20,9.0,6.0,0,2.0,0,1.0
2020-11-21,9.0,6.0,0,2.0,0,1.0
2020-11-22,11.0,6.0,0,2.0,0,1.0
2020-11-23,8.0,6.0,0,2.0,0,1.0
2020-11-24,6.0,6.0,1,2.0,0,1.0
2020-11-25,7.0,6.0,1,2.0,0,1.0
2020-11-26,7.0,6.0,1,2.0,0,1.0
2020-11-27,7.0,6.0,1,2.0,0,1.0
2020-11-28,8.0,6.0,1,2.0,0,1.0
2020-11-29,8.0,6.0,1,2.0,0,1.0
2020-11-30,6.0,6.0,1,2.0,0,1.0
2020-12-01,4.0,6.0,1,2.0,0,1.0
2020-12-02,3.0,6.0,1,2.0,0,1.0
2020-12-03,4.0,6.0,2,2.0,0,1.0
2020-12-04,4.0,6.0,2,2.0,0,1.0
2020-12-05,4.0,6.0,2,2.0,0,1.0
2020-12-06,4.0,6.0,2,2.0,0,1.0
2020-12-07,5.0,6.0,2,2.0,0,1.0
2020-12-08,4.0,6.0,2,2.0,0,1.0
2020-12-09,3.0,6.0,2,2.0,0,1.0
2020-12-10,3.0,6.0,2,2.0,0,1.0
2020-12-11,2.0,6.0,1,2.0,0,1.0
2020-12-12,4.0,6.0,0,2.0,0,1.0
2020-12-13,2.0,6.0,0,2.0,0,1.0
2020-12-14,4.0,6.0,0,2.0,0,1.0
2020-12-15,7.0,6.0,1,2.0,0,1.0
2020-12-16,7.0,6.0,1,2.0,0,1.0
2020-12-17,6.0,6.0,1,2.0,0,1.0
2020-12-18,7.0,6.0,2,2.0,0,1.0
2020-12-19,6.0,6.0,2,2.0,0,1.0
2020-12-20,,6.0,,2.0,,1.0
2020-12-21,,6.0,,2.0,,1.0
2020-12-22,,6.0,,2.0,,1.0
2020-12-23,,6.0,,2.0,,1.0
2020-12-24,,6.0,,2.0,,2.0
2020-12-25,,6.0,,2.0,,2.0
2020-12-26,,6.0,,2.0,,2.0
2020-12-27,,6.0,,2.0,,2.0
2020-12-28,,6.0,,2.0,,2.0
2020-12-29,,6.0,,2.0,,2.0
2020-12-30,,6.0,,2.0,,2.0
2020-12-31,,6.0,,2.0,,2.0
2021-01-01,,6.0,,2.0,,2.0
2021-01-02,,6.0,,2.0,,2.0
