Date,Number of Current All Beds In Use,Number of All Beds Forecast,Number of Current Icu Beds In Use,Number of ICU Beds Forecast,Number of Current Ventilators In Use,Number of Ventilators Forecast
2020-10-01,8.0,8.0,5,5.0,0,0.0
2020-10-02,7.0,9.0,4,5.0,0,1.0
2020-10-03,4.0,10.0,4,5.0,0,1.0
2020-10-04,5.0,11.0,4,5.0,0,1.0
2020-10-05,8.0,11.0,5,5.0,0,2.0
2020-10-06,10.0,11.0,4,4.0,0,2.0
2020-10-07,13.0,12.0,4,4.0,0,2.0
2020-10-08,16.0,12.0,4,4.0,0,2.0
2020-10-09,12.0,12.0,5,4.0,0,3.0
2020-10-10,14.0,12.0,4,4.0,0,3.0
2020-10-11,14.0,12.0,4,4.0,0,3.0
2020-10-12,13.0,12.0,3,4.0,0,3.0
2020-10-13,10.0,13.0,3,4.0,0,3.0
2020-10-14,11.0,13.0,3,4.0,0,4.0
2020-10-15,9.0,13.0,3,3.0,0,4.0
2020-10-16,8.0,13.0,3,3.0,0,4.0
2020-10-17,7.0,13.0,3,3.0,0,4.0
2020-10-18,10.0,13.0,2,3.0,0,4.0
2020-10-19,12.0,13.0,4,3.0,0,4.0
2020-10-20,9.0,13.0,4,3.0,0,4.0
2020-10-21,12.0,13.0,4,3.0,0,4.0
2020-10-22,12.0,14.0,4,3.0,0,5.0
2020-10-23,10.0,14.0,4,3.0,0,5.0
2020-10-24,15.0,14.0,3,3.0,0,5.0
2020-10-25,15.0,14.0,3,3.0,0,5.0
2020-10-26,14.0,14.0,3,3.0,0,5.0
2020-10-27,14.0,15.0,4,3.0,0,5.0
2020-10-28,12.0,15.0,4,3.0,0,5.0
2020-10-29,8.0,15.0,3,3.0,0,5.0
2020-10-30,11.0,15.0,3,3.0,0,5.0
2020-10-31,10.0,16.0,2,3.0,0,6.0
2020-11-01,10.0,16.0,1,3.0,0,6.0
2020-11-02,7.0,16.0,1,3.0,0,6.0
2020-11-03,6.0,17.0,1,3.0,0,6.0
2020-11-04,11.0,17.0,1,3.0,0,6.0
2020-11-05,5.0,17.0,1,3.0,0,6.0
2020-11-06,6.0,18.0,1,3.0,0,6.0
2020-11-07,8.0,18.0,1,3.0,0,6.0
2020-11-08,11.0,19.0,0,3.0,0,6.0
2020-11-09,14.0,19.0,0,3.0,0,7.0
2020-11-10,13.0,19.0,0,3.0,0,7.0
2020-11-11,10.0,20.0,2,3.0,0,7.0
2020-11-12,12.0,20.0,1,3.0,0,7.0
2020-11-13,13.0,21.0,3,4.0,0,7.0
2020-11-14,12.0,21.0,3,4.0,0,7.0
2020-11-15,12.0,22.0,3,4.0,0,7.0
2020-11-16,15.0,22.0,3,4.0,0,8.0
2020-11-17,17.0,23.0,3,4.0,0,8.0
2020-11-18,19.0,24.0,4,4.0,0,8.0
2020-11-19,18.0,24.0,4,4.0,0,8.0
2020-11-20,28.0,25.0,3,4.0,0,8.0
2020-11-21,26.0,25.0,3,4.0,0,8.0
2020-11-22,29.0,26.0,3,4.0,0,9.0
2020-11-23,31.0,26.0,3,4.0,0,9.0
2020-11-24,28.0,27.0,3,4.0,0,9.0
2020-11-25,24.0,28.0,3,4.0,0,9.0
2020-11-26,24.0,28.0,3,4.0,0,9.0
2020-11-27,26.0,29.0,4,5.0,0,10.0
2020-11-28,29.0,29.0,4,5.0,0,10.0
2020-11-29,29.0,30.0,4,5.0,0,10.0
2020-11-30,30.0,31.0,4,5.0,0,10.0
2020-12-01,30.0,31.0,3,5.0,0,10.0
2020-12-02,33.0,32.0,3,5.0,0,11.0
2020-12-03,39.0,32.0,3,5.0,0,11.0
2020-12-04,39.0,33.0,3,5.0,0,11.0
2020-12-05,33.0,34.0,4,5.0,0,11.0
2020-12-06,34.0,34.0,4,5.0,0,12.0
2020-12-07,33.0,35.0,4,6.0,0,12.0
2020-12-08,36.0,36.0,4,6.0,0,12.0
2020-12-09,37.0,36.0,4,6.0,0,12.0
2020-12-10,40.0,37.0,4,6.0,0,13.0
2020-12-11,35.0,37.0,6,6.0,0,13.0
2020-12-12,37.0,38.0,6,6.0,0,13.0
2020-12-13,39.0,38.0,5,6.0,0,13.0
2020-12-14,41.0,39.0,6,6.0,0,13.0
2020-12-15,44.0,40.0,7,6.0,0,14.0
2020-12-16,38.0,40.0,9,6.0,0,14.0
2020-12-17,34.0,41.0,7,7.0,0,14.0
2020-12-18,32.0,41.0,7,7.0,0,14.0
2020-12-19,34.0,42.0,7,7.0,0,15.0
2020-12-20,35.0,42.0,7,7.0,0,15.0
2020-12-21,43.0,42.0,7,7.0,0,15.0
2020-12-22,43.0,43.0,8,7.0,0,15.0
2020-12-23,42.0,43.0,8,7.0,0,16.0
2020-12-24,42.0,44.0,11,7.0,0,16.0
2020-12-25,41.0,44.0,10,7.0,0,16.0
2020-12-26,41.0,44.0,11,7.0,0,16.0
2020-12-27,42.0,45.0,8,7.0,0,16.0
2020-12-28,47.0,45.0,8,8.0,0,17.0
2020-12-29,49.0,45.0,8,8.0,0,17.0
2020-12-30,49.0,45.0,9,8.0,0,17.0
2020-12-31,47.0,46.0,8,8.0,0,17.0
2021-01-01,49.0,46.0,7,8.0,0,17.0
2021-01-02,50.0,46.0,7,8.0,0,17.0
2021-01-03,51.0,46.0,6,8.0,0,17.0
2021-01-04,59.0,46.0,7,8.0,0,18.0
2021-01-05,51.0,46.0,7,8.0,0,18.0
2021-01-06,51.0,46.0,8,8.0,0,18.0
2021-01-07,49.0,46.0,7,8.0,0,18.0
2021-01-08,42.0,46.0,8,8.0,0,18.0
2021-01-09,39.0,46.0,7,8.0,0,18.0
2021-01-10,52.0,46.0,7,8.0,0,18.0
2021-01-11,52.0,46.0,10,8.0,0,18.0
2021-01-12,45.0,46.0,11,8.0,0,18.0
2021-01-13,44.0,46.0,10,8.0,0,18.0
2021-01-14,40.0,46.0,8,8.0,0,18.0
2021-01-15,36.0,45.0,8,8.0,0,19.0
2021-01-16,35.0,45.0,8,8.0,0,19.0
2021-01-17,41.0,45.0,8,8.0,0,19.0
2021-01-18,40.0,45.0,11,8.0,0,19.0
2021-01-19,45.0,44.0,12,8.0,0,19.0
2021-01-20,46.0,44.0,11,8.0,0,19.0
2021-01-21,48.0,44.0,11,8.0,0,18.0
2021-01-22,47.0,43.0,11,8.0,0,18.0
2021-01-23,53.0,43.0,10,8.0,0,18.0
2021-01-24,53.0,43.0,11,8.0,0,18.0
2021-01-25,51.0,42.0,10,8.0,0,18.0
2021-01-26,47.0,42.0,10,8.0,0,18.0
2021-01-27,48.0,41.0,10,8.0,0,18.0
2021-01-28,46.0,41.0,10,8.0,0,18.0
2021-01-29,45.0,40.0,10,8.0,0,18.0
2021-01-30,44.0,40.0,10,8.0,0,18.0
2021-01-31,44.0,39.0,11,8.0,0,18.0
2021-02-01,47.0,39.0,10,8.0,0,18.0
2021-02-02,40.0,38.0,9,8.0,0,17.0
2021-02-03,38.0,38.0,9,8.0,0,17.0
2021-02-04,38.0,37.0,10,8.0,0,17.0
2021-02-05,38.0,37.0,10,8.0,0,17.0
2021-02-06,41.0,36.0,10,8.0,0,17.0
2021-02-07,38.0,36.0,11,8.0,0,17.0
2021-02-08,41.0,35.0,10,8.0,0,17.0
2021-02-09,43.0,35.0,10,8.0,0,16.0
2021-02-10,45.0,34.0,7,8.0,0,16.0
2021-02-11,37.0,34.0,7,7.0,0,16.0
2021-02-12,34.0,33.0,6,7.0,0,16.0
2021-02-13,35.0,32.0,7,7.0,0,16.0
2021-02-14,28.0,32.0,7,7.0,0,16.0
2021-02-15,33.0,31.0,8,7.0,0,15.0
2021-02-16,39.0,31.0,8,7.0,0,15.0
2021-02-17,32.0,30.0,7,7.0,0,15.0
2021-02-18,30.0,30.0,7,7.0,0,15.0
2021-02-19,22.0,29.0,5,7.0,0,15.0
2021-02-20,19.0,29.0,5,7.0,0,14.0
2021-02-21,19.0,28.0,5,7.0,0,14.0
2021-02-22,22.0,27.0,7,6.0,0,14.0
2021-02-23,25.0,27.0,6,6.0,0,14.0
2021-02-24,24.0,26.0,5,6.0,0,13.0
2021-02-25,27.0,26.0,5,6.0,0,13.0
2021-02-26,23.0,25.0,5,6.0,0,13.0
2021-02-27,17.0,25.0,5,6.0,0,13.0
2021-02-28,18.0,24.0,4,6.0,0,13.0
2021-03-01,20.0,24.0,4,6.0,0,12.0
2021-03-02,22.0,23.0,4,6.0,0,12.0
2021-03-03,22.0,23.0,4,6.0,0,12.0
2021-03-04,20.0,22.0,2,6.0,0,12.0
2021-03-05,24.0,22.0,2,5.0,0,12.0
2021-03-06,23.0,21.0,1,5.0,0,11.0
2021-03-07,24.0,21.0,1,5.0,0,11.0
2021-03-08,24.0,20.0,1,5.0,0,11.0
2021-03-09,18.0,20.0,1,5.0,0,11.0
2021-03-10,14.0,20.0,1,5.0,0,11.0
2021-03-11,11.0,19.0,1,5.0,0,10.0
2021-03-12,10.0,19.0,1,5.0,0,10.0
2021-03-13,7.0,18.0,1,5.0,0,10.0
2021-03-14,10.0,18.0,1,5.0,0,10.0
2021-03-15,11.0,17.0,1,5.0,0,10.0
2021-03-16,13.0,17.0,1,4.0,0,9.0
2021-03-17,11.0,17.0,1,4.0,0,9.0
2021-03-18,16.0,16.0,3,4.0,0,9.0
2021-03-19,14.0,16.0,3,4.0,0,9.0
2021-03-20,15.0,16.0,4,4.0,0,9.0
2021-03-21,16.0,15.0,4,4.0,0,9.0
2021-03-22,16.0,15.0,4,4.0,0,8.0
2021-03-23,16.0,15.0,4,4.0,0,8.0
2021-03-24,15.0,14.0,4,4.0,0,8.0
2021-03-25,13.0,14.0,3,4.0,0,8.0
2021-03-26,11.0,14.0,4,4.0,0,8.0
2021-03-27,8.0,13.0,3,4.0,0,8.0
2021-03-28,10.0,13.0,2,4.0,0,7.0
2021-03-29,9.0,13.0,2,4.0,0,7.0
2021-03-30,9.0,12.0,2,3.0,0,7.0
2021-03-31,6.0,12.0,2,3.0,0,7.0
2021-04-01,11.0,12.0,1,3.0,0,7.0
2021-04-02,10.0,11.0,1,3.0,0,7.0
2021-04-03,9.0,11.0,1,3.0,0,6.0
2021-04-04,6.0,11.0,1,3.0,0,6.0
2021-04-05,,11.0,,3.0,,6.0
2021-04-06,,10.0,,3.0,,6.0
2021-04-07,,10.0,,3.0,,6.0
2021-04-08,,10.0,,3.0,,6.0
2021-04-09,,10.0,,3.0,,6.0
2021-04-10,,10.0,,3.0,,6.0
2021-04-11,,9.0,,3.0,,5.0
2021-04-12,,9.0,,3.0,,5.0
2021-04-13,,9.0,,3.0,,5.0
2021-04-14,,9.0,,3.0,,5.0
2021-04-15,,8.0,,3.0,,5.0
2021-04-16,,8.0,,2.0,,5.0
2021-04-17,,8.0,,2.0,,5.0
2021-04-18,,8.0,,2.0,,5.0
2021-04-19,,8.0,,2.0,,5.0
2021-04-20,,8.0,,2.0,,4.0
2021-04-21,,7.0,,2.0,,4.0
2021-04-22,,7.0,,2.0,,4.0
2021-04-23,,7.0,,2.0,,4.0
2021-04-24,,7.0,,2.0,,4.0
2021-04-25,,7.0,,2.0,,4.0
2021-04-26,,7.0,,2.0,,4.0
2021-04-27,,6.0,,2.0,,4.0
2021-04-28,,6.0,,2.0,,4.0
2021-04-29,,6.0,,2.0,,4.0
2021-04-30,,6.0,,2.0,,4.0
2021-05-01,,6.0,,2.0,,4.0
2021-05-02,,6.0,,2.0,,3.0
2021-05-03,,6.0,,2.0,,3.0
2021-05-04,,5.0,,2.0,,3.0
