Date,Number of Current All Beds In Use,Number of All Beds Forecast,Number of Current Icu Beds In Use,Number of ICU Beds Forecast,Number of Current Ventilators In Use,Number of Ventilators Forecast
2020-10-01,7.0,7.0,3,3.0,0,0.0
2020-10-02,9.0,8.0,3,3.0,0,1.0
2020-10-03,6.0,8.0,3,3.0,0,1.0
2020-10-04,5.0,8.0,3,3.0,0,1.0
2020-10-05,6.0,8.0,2,3.0,0,1.0
2020-10-06,6.0,8.0,2,3.0,0,2.0
2020-10-07,5.0,8.0,2,3.0,0,2.0
2020-10-08,5.0,7.0,2,3.0,0,2.0
2020-10-09,4.0,7.0,2,3.0,0,2.0
2020-10-10,3.0,7.0,2,3.0,0,2.0
2020-10-11,3.0,7.0,2,3.0,0,2.0
2020-10-12,5.0,7.0,1,3.0,0,2.0
2020-10-13,6.0,7.0,1,3.0,0,2.0
2020-10-14,8.0,7.0,0,3.0,0,2.0
2020-10-15,7.0,7.0,0,3.0,0,2.0
2020-10-16,9.0,7.0,0,3.0,0,3.0
2020-10-17,7.0,7.0,0,2.0,0,3.0
2020-10-18,8.0,7.0,0,2.0,0,3.0
2020-10-19,10.0,7.0,0,2.0,0,3.0
2020-10-20,10.0,8.0,0,2.0,0,3.0
2020-10-21,8.0,8.0,1,2.0,0,3.0
2020-10-22,11.0,8.0,1,2.0,0,3.0
2020-10-23,9.0,8.0,0,2.0,0,3.0
2020-10-24,8.0,8.0,0,2.0,0,3.0
2020-10-25,11.0,8.0,0,2.0,0,3.0
2020-10-26,10.0,8.0,0,2.0,0,3.0
2020-10-27,9.0,9.0,0,2.0,0,3.0
2020-10-28,7.0,9.0,0,2.0,0,3.0
2020-10-29,8.0,9.0,0,2.0,0,3.0
2020-10-30,7.0,9.0,0,2.0,0,3.0
2020-10-31,11.0,10.0,0,2.0,0,3.0
2020-11-01,12.0,10.0,0,2.0,0,3.0
2020-11-02,12.0,10.0,0,2.0,0,4.0
2020-11-03,9.0,10.0,0,2.0,0,4.0
2020-11-04,11.0,11.0,0,2.0,0,4.0
2020-11-05,10.0,11.0,0,2.0,0,4.0
2020-11-06,11.0,11.0,0,2.0,0,4.0
2020-11-07,9.0,12.0,0,2.0,0,4.0
2020-11-08,7.0,12.0,0,2.0,0,4.0
2020-11-09,6.0,12.0,0,3.0,0,4.0
2020-11-10,8.0,13.0,0,3.0,0,4.0
2020-11-11,12.0,13.0,0,3.0,0,4.0
2020-11-12,11.0,14.0,0,3.0,0,4.0
2020-11-13,8.0,14.0,0,3.0,0,5.0
2020-11-14,8.0,14.0,0,3.0,0,5.0
2020-11-15,6.0,15.0,0,3.0,0,5.0
2020-11-16,9.0,15.0,1,3.0,0,5.0
2020-11-17,8.0,16.0,1,3.0,0,5.0
2020-11-18,14.0,16.0,1,3.0,0,5.0
2020-11-19,9.0,17.0,1,3.0,0,5.0
2020-11-20,12.0,17.0,1,3.0,0,6.0
2020-11-21,13.0,18.0,1,3.0,0,6.0
2020-11-22,12.0,18.0,1,3.0,0,6.0
2020-11-23,14.0,19.0,1,3.0,0,6.0
2020-11-24,16.0,19.0,1,3.0,0,6.0
2020-11-25,16.0,20.0,1,3.0,0,6.0
2020-11-26,18.0,21.0,2,4.0,0,7.0
2020-11-27,21.0,21.0,2,4.0,0,7.0
2020-11-28,24.0,22.0,2,4.0,0,7.0
2020-11-29,24.0,22.0,2,4.0,0,7.0
2020-11-30,23.0,23.0,2,4.0,0,7.0
2020-12-01,25.0,23.0,3,4.0,0,8.0
2020-12-02,27.0,24.0,3,4.0,0,8.0
2020-12-03,30.0,25.0,4,4.0,0,8.0
2020-12-04,27.0,25.0,4,4.0,0,8.0
2020-12-05,23.0,26.0,5,4.0,0,8.0
2020-12-06,26.0,26.0,4,5.0,0,9.0
2020-12-07,24.0,27.0,4,5.0,0,9.0
2020-12-08,27.0,27.0,4,5.0,0,9.0
2020-12-09,28.0,28.0,4,5.0,0,9.0
2020-12-10,29.0,29.0,5,5.0,0,9.0
2020-12-11,29.0,29.0,5,5.0,0,10.0
2020-12-12,29.0,30.0,4,5.0,0,10.0
2020-12-13,32.0,30.0,6,5.0,0,10.0
2020-12-14,30.0,31.0,6,5.0,0,10.0
