Date,Number of Current All Beds In Use,Number of All Beds Forecast,Number of Current Icu Beds In Use,Number of ICU Beds Forecast,Number of Current Ventilators In Use,Number of Ventilators Forecast
2020-10-01,12.0,12.0,3,3.0,0,0.0
2020-10-02,11.0,13.0,3,4.0,0,1.0
2020-10-03,10.0,13.0,3,4.0,0,1.0
2020-10-04,7.0,13.0,3,4.0,0,2.0
2020-10-05,11.0,13.0,3,4.0,0,2.0
2020-10-06,11.0,13.0,4,4.0,0,2.0
2020-10-07,11.0,13.0,3,4.0,0,3.0
2020-10-08,12.0,12.0,3,4.0,0,3.0
2020-10-09,9.0,12.0,3,4.0,0,3.0
2020-10-10,9.0,12.0,3,4.0,0,3.0
2020-10-11,13.0,12.0,3,4.0,0,3.0
2020-10-12,14.0,12.0,3,4.0,0,3.0
2020-10-13,14.0,11.0,3,4.0,0,4.0
2020-10-14,15.0,11.0,3,4.0,0,4.0
2020-10-15,16.0,11.0,3,4.0,0,4.0
2020-10-16,16.0,11.0,3,4.0,0,4.0
2020-10-17,13.0,11.0,3,4.0,0,4.0
2020-10-18,11.0,11.0,3,4.0,0,4.0
2020-10-19,10.0,11.0,2,4.0,0,4.0
2020-10-20,11.0,11.0,2,4.0,0,4.0
2020-10-21,12.0,11.0,1,4.0,0,4.0
2020-10-22,13.0,11.0,1,4.0,0,4.0
2020-10-23,13.0,11.0,1,4.0,0,4.0
2020-10-24,15.0,12.0,1,4.0,0,4.0
2020-10-25,14.0,12.0,1,4.0,0,4.0
2020-10-26,12.0,12.0,0,4.0,0,5.0
2020-10-27,13.0,12.0,0,4.0,0,5.0
2020-10-28,17.0,13.0,0,4.0,0,5.0
2020-10-29,13.0,13.0,0,4.0,0,5.0
2020-10-30,14.0,13.0,0,4.0,0,5.0
2020-10-31,16.0,13.0,0,4.0,0,5.0
2020-11-01,11.0,14.0,1,4.0,0,5.0
2020-11-02,11.0,14.0,1,4.0,0,5.0
2020-11-03,13.0,14.0,1,4.0,0,5.0
