Date,Number of Current All Beds In Use,Number of All Beds Forecast,Number of Current Icu Beds In Use,Number of ICU Beds Forecast,Number of Current Ventilators In Use,Number of Ventilators Forecast
2020-03-23,51,50.0,15,16.0,6,6.0
2020-03-24,61,70.0,19,17.0,13,8.0
2020-03-25,65,88.0,18,20.0,15,10.0
2020-03-26,83,102.0,25,23.0,21,13.0
2020-03-27,91,115.0,31,26.0,27,15.0
2020-03-28,110,125.0,40,30.0,29,18.0
2020-03-29,113,134.0,41,34.0,31,21.0
2020-03-30,127,141.0,40,38.0,30,24.0
2020-03-31,127,147.0,41,41.0,32,27.0
2020-04-01,157,152.0,47,45.0,34,30.0
2020-04-02,170,155.0,50,48.0,36,33.0
2020-04-03,168,157.0,58,52.0,41,35.0
2020-04-04,169,159.0,60,55.0,42,38.0
2020-04-05,168,159.0,60,58.0,43,40.0
2020-04-06,172,159.0,65,60.0,48,42.0
2020-04-07,161,159.0,66,62.0,50,44.0
2020-04-08,166,158.0,61,64.0,48,46.0
2020-04-09,164,156.0,62,66.0,45,47.0
2020-04-10,159,154.0,70,67.0,47,49.0
2020-04-11,157,152.0,65,68.0,49,50.0
2020-04-12,155,149.0,65,69.0,48,51.0
2020-04-13,148,146.0,67,70.0,47,52.0
2020-04-14,150,143.0,61,70.0,47,52.0
2020-04-15,148,139.0,61,70.0,49,53.0
2020-04-16,146,136.0,62,70.0,47,53.0
2020-04-17,132,132.0,62,70.0,45,53.0
2020-04-18,131,129.0,61,70.0,39,53.0
2020-04-19,122,125.0,56,69.0,39,53.0
2020-04-20,125,121.0,56,69.0,37,53.0
2020-04-21,126,118.0,57,68.0,33,53.0
2020-04-22,117,114.0,50,67.0,31,52.0
2020-04-23,100,110.0,49,66.0,31,52.0
2020-04-24,92,107.0,46,65.0,26,51.0
2020-04-25,86,103.0,37,64.0,25,50.0
2020-04-26,74,99.0,34,62.0,24,50.0
2020-04-27,,96.0,,61.0,,49.0
2020-04-28,,92.0,,60.0,,48.0
2020-04-29,,89.0,,58.0,,47.0
2020-04-30,,86.0,,57.0,,46.0
2020-05-01,,82.0,,55.0,,45.0
2020-05-02,,79.0,,54.0,,44.0
2020-05-03,,76.0,,52.0,,43.0
2020-05-04,,73.0,,51.0,,42.0
2020-05-05,,70.0,,49.0,,41.0
2020-05-06,,67.0,,48.0,,40.0
2020-05-07,,65.0,,46.0,,39.0
2020-05-08,,62.0,,45.0,,38.0
2020-05-09,,59.0,,43.0,,37.0
2020-05-10,,57.0,,42.0,,36.0
2020-05-11,,55.0,,41.0,,35.0
2020-05-12,,52.0,,39.0,,34.0
2020-05-13,,50.0,,38.0,,33.0
2020-05-14,,48.0,,36.0,,32.0
2020-05-15,,46.0,,35.0,,31.0
2020-05-16,,44.0,,34.0,,30.0
2020-05-17,,42.0,,33.0,,29.0
2020-05-18,,40.0,,31.0,,28.0
2020-05-19,,38.0,,30.0,,27.0
2020-05-20,,37.0,,29.0,,26.0
2020-05-21,,35.0,,28.0,,25.0
2020-05-22,,33.0,,27.0,,24.0
2020-05-23,,32.0,,26.0,,23.0
2020-05-24,,30.0,,25.0,,22.0
2020-05-25,,29.0,,24.0,,21.0
2020-05-26,,28.0,,23.0,,21.0
2020-05-27,,26.0,,22.0,,20.0
2020-05-28,,25.0,,21.0,,19.0
2020-05-29,,24.0,,20.0,,18.0
2020-05-30,,23.0,,19.0,,18.0
2020-05-31,,22.0,,18.0,,17.0
2020-06-01,,21.0,,18.0,,16.0
2020-06-02,,20.0,,17.0,,16.0
2020-06-03,,19.0,,16.0,,15.0
2020-06-04,,18.0,,16.0,,14.0
2020-06-05,,17.0,,15.0,,14.0
2020-06-06,,16.0,,14.0,,13.0
2020-06-07,,16.0,,14.0,,13.0
2020-06-08,,15.0,,13.0,,12.0
2020-06-09,,14.0,,12.0,,12.0
2020-06-11,,14.0,,12.0,,11.0
