Date,Number of Current All Beds In Use,Number of All Beds Forecast,Number of Current Icu Beds In Use,Number of ICU Beds Forecast,Number of Current Ventilators In Use,Number of Ventilators Forecast
2020-10-01,8.0,8.0,1,3.0,0,0.0
2020-10-02,10.0,9.0,0,3.0,0,1.0
2020-10-03,11.0,9.0,0,3.0,0,1.0
2020-10-04,13.0,9.0,2,3.0,0,1.0
2020-10-05,10.0,10.0,2,3.0,0,2.0
2020-10-06,4.0,10.0,2,3.0,0,2.0
2020-10-07,7.0,10.0,1,3.0,0,2.0
2020-10-08,7.0,10.0,1,3.0,0,2.0
2020-10-09,7.0,10.0,1,3.0,0,2.0
2020-10-10,8.0,10.0,1,3.0,0,2.0
2020-10-11,7.0,10.0,1,3.0,0,3.0
2020-10-12,5.0,10.0,1,3.0,0,3.0
2020-10-13,3.0,10.0,1,3.0,0,3.0
2020-10-14,2.0,10.0,1,3.0,0,3.0
2020-10-15,4.0,10.0,2,3.0,0,3.0
2020-10-16,7.0,10.0,2,3.0,0,3.0
2020-10-17,7.0,10.0,2,3.0,0,3.0
2020-10-18,10.0,10.0,3,3.0,0,3.0
2020-10-19,14.0,10.0,3,3.0,0,4.0
2020-10-20,14.0,11.0,4,3.0,0,4.0
2020-10-21,10.0,11.0,4,3.0,0,4.0
2020-10-22,10.0,11.0,3,3.0,0,4.0
2020-10-23,10.0,11.0,3,3.0,0,4.0
2020-10-24,12.0,11.0,2,3.0,0,4.0
2020-10-25,15.0,12.0,3,3.0,0,4.0
2020-10-26,17.0,12.0,4,3.0,0,4.0
2020-10-27,17.0,12.0,4,3.0,0,4.0
2020-10-28,17.0,12.0,4,3.0,0,4.0
2020-10-29,13.0,13.0,4,3.0,0,4.0
2020-10-30,12.0,13.0,3,3.0,0,4.0
2020-10-31,13.0,13.0,3,3.0,0,5.0
2020-11-01,12.0,14.0,2,3.0,0,5.0
2020-11-02,11.0,14.0,2,3.0,0,5.0
2020-11-03,12.0,15.0,2,3.0,0,5.0
2020-11-04,10.0,15.0,2,3.0,0,5.0
2020-11-05,10.0,16.0,2,3.0,0,5.0
