Date,Number of Current All Beds In Use,Number of All Beds Forecast,Number of Current Icu Beds In Use,Number of ICU Beds Forecast,Number of Current Ventilators In Use,Number of Ventilators Forecast
2020-10-01,15.0,15.0,4,3.0,0,0.0
2020-10-02,14.0,18.0,2,4.0,0,1.0
2020-10-03,15.0,20.0,2,4.0,0,2.0
2020-10-04,18.0,21.0,2,4.0,0,2.0
2020-10-05,19.0,22.0,3,4.0,0,3.0
2020-10-06,24.0,22.0,3,4.0,0,3.0
2020-10-07,23.0,22.0,3,5.0,0,4.0
2020-10-08,27.0,23.0,3,5.0,0,4.0
2020-10-09,20.0,23.0,3,5.0,0,5.0
2020-10-10,20.0,23.0,4,5.0,0,5.0
2020-10-11,27.0,22.0,4,5.0,0,5.0
2020-10-12,23.0,22.0,4,5.0,0,6.0
2020-10-13,24.0,22.0,4,5.0,0,6.0
2020-10-14,21.0,22.0,4,6.0,0,6.0
2020-10-15,16.0,22.0,4,6.0,0,7.0
2020-10-16,16.0,22.0,6,6.0,0,7.0
2020-10-17,18.0,22.0,5,6.0,0,7.0
2020-10-18,19.0,22.0,5,6.0,0,7.0
2020-10-19,17.0,22.0,6,6.0,0,7.0
2020-10-20,19.0,22.0,6,6.0,0,8.0
2020-10-21,20.0,23.0,7,6.0,0,8.0
2020-10-22,24.0,23.0,7,7.0,0,8.0
2020-10-23,31.0,23.0,8,7.0,0,8.0
2020-10-24,33.0,23.0,9,7.0,0,8.0
2020-10-25,36.0,24.0,9,7.0,0,8.0
2020-10-26,35.0,24.0,9,7.0,0,8.0
2020-10-27,32.0,25.0,8,7.0,0,9.0
2020-10-28,30.0,25.0,8,7.0,0,9.0
2020-10-29,27.0,26.0,7,7.0,0,9.0
2020-10-30,26.0,26.0,8,7.0,0,9.0
2020-10-31,26.0,27.0,7,8.0,0,9.0
2020-11-01,26.0,27.0,7,8.0,0,9.0
2020-11-02,22.0,28.0,8,8.0,0,10.0
2020-11-03,25.0,28.0,9,8.0,0,10.0
2020-11-04,28.0,29.0,9,8.0,0,10.0
2020-11-05,27.0,30.0,9,8.0,0,10.0
2020-11-06,26.0,30.0,10,8.0,0,10.0
2020-11-07,26.0,31.0,9,9.0,0,11.0
2020-11-08,26.0,32.0,9,9.0,0,11.0
2020-11-09,25.0,32.0,9,9.0,0,11.0
2020-11-10,31.0,33.0,10,9.0,0,11.0
2020-11-11,33.0,34.0,10,9.0,0,11.0
2020-11-12,35.0,34.0,10,9.0,0,12.0
2020-11-13,36.0,35.0,12,10.0,0,12.0
2020-11-14,43.0,36.0,12,10.0,0,12.0
2020-11-15,43.0,37.0,13,10.0,0,12.0
2020-11-16,40.0,37.0,13,10.0,0,13.0
2020-11-17,39.0,38.0,13,10.0,0,13.0
2020-11-18,38.0,39.0,13,11.0,0,13.0
2020-11-19,40.0,40.0,14,11.0,0,13.0
2020-11-20,39.0,40.0,13,11.0,0,14.0
2020-11-21,43.0,41.0,13,11.0,0,14.0
2020-11-22,45.0,42.0,13,11.0,0,14.0
2020-11-23,47.0,43.0,13,12.0,0,14.0
2020-11-24,46.0,43.0,13,12.0,0,15.0
2020-11-25,48.0,44.0,12,12.0,0,15.0
2020-11-26,42.0,45.0,12,12.0,0,15.0
2020-11-27,45.0,46.0,11,12.0,0,16.0
2020-11-28,42.0,46.0,11,13.0,0,16.0
2020-11-29,44.0,47.0,10,13.0,0,16.0
2020-11-30,42.0,48.0,10,13.0,0,16.0
2020-12-01,44.0,48.0,10,13.0,0,17.0
2020-12-02,46.0,49.0,11,14.0,0,17.0
2020-12-03,54.0,50.0,11,14.0,0,17.0
2020-12-04,57.0,50.0,12,14.0,0,18.0
2020-12-05,59.0,51.0,12,14.0,0,18.0
2020-12-06,57.0,52.0,12,15.0,0,18.0
2020-12-07,53.0,52.0,13,15.0,0,18.0
2020-12-08,42.0,53.0,13,15.0,0,19.0
2020-12-09,42.0,54.0,12,15.0,0,19.0
2020-12-10,43.0,54.0,13,16.0,0,19.0
2020-12-11,52.0,55.0,13,16.0,0,20.0
2020-12-12,59.0,55.0,13,16.0,0,20.0
2020-12-13,56.0,56.0,12,16.0,0,20.0
2020-12-14,61.0,56.0,13,16.0,0,20.0
2020-12-15,54.0,57.0,14,17.0,0,21.0
2020-12-16,51.0,57.0,14,17.0,0,21.0
2020-12-17,50.0,57.0,13,17.0,0,21.0
2020-12-18,48.0,58.0,13,17.0,0,21.0
2020-12-19,55.0,58.0,15,18.0,0,21.0
2020-12-20,51.0,58.0,14,18.0,0,22.0
2020-12-21,54.0,59.0,13,18.0,0,22.0
2020-12-22,58.0,59.0,15,18.0,0,22.0
2020-12-23,54.0,59.0,15,18.0,0,22.0
2020-12-24,58.0,59.0,15,19.0,0,22.0
2020-12-25,65.0,60.0,16,19.0,0,23.0
2020-12-26,55.0,60.0,16,19.0,0,23.0
