Date,S,I,R
2020-04-01,2701519.0,2202.0,0.0
2020-04-02,2701519.9800224514,7197.925537195786,263.57887566869243
2020-04-03,2701523.883174613,9933.302898900747,671.0545158730532
2020-04-04,2701531.5759006822,11330.79598650521,1145.3795851219224
2020-04-05,2701543.4215659937,11942.082976861919,1642.4423936010319
2020-04-06,2701559.4984314293,12096.438885064523,2137.604218851767
2020-04-07,2701579.7281605736,11989.890306885045,2617.6622065004008
2020-04-08,2701603.9509706493,11738.699860868655,3076.0625544353156
2020-04-09,2701631.969050247,11411.441060187666,3510.059208755645
2020-04-10,2701663.571180564,11048.22513948285,3919.0355670478907
2020-04-11,2701698.5462874225,10672.218862064552,4303.520190135013
2020-04-12,2701736.690530261,10296.537958845709,4664.615599052944
2020-04-13,2701777.810665502,9928.367538056697,5003.672051245189
2020-04-14,2701821.725304076,9571.420439667465,5322.105837843113
2020-04-15,2701868.2650155616,9227.400106552055,5621.302184229304
2020-04-16,2701917.2718338086,8896.867794317302,5902.567115189965
2020-04-17,2701968.5984828877,8579.753855274044,6167.107170213699
2020-04-18,2702022.1075026547,8275.65676463714,6416.024531119646
2020-04-19,2702077.6703713387,7984.015923041827,6650.320296328741
2020-04-20,2702135.166674971,7704.209701002051,6870.901710167191
2020-04-21,2702194.483346232,7435.609466060309,7078.5909747939095
2020-04-22,2702255.5139800734,7177.607915196219,7274.134342251246
2020-04-23,2702318.158225279,6929.632599959605,7458.210807659784
2020-04-24,2702382.3212470277,6691.151085702254,7631.440082977231
2020-04-25,2702447.9132537297,6461.671531378575,7794.389732483207
2020-04-26,2702514.849080921,6240.740895195725,7947.581460874657
2020-04-27,2702583.0478251725,6027.942032448689,8091.496601131859
2020-04-28,2702652.4325215206,5822.890397111524,8226.580874967136
2020-04-29,2702722.9298585714,5625.230733262597,8353.248507201184
2020-04-30,2702794.469926131,5434.633953276294,8471.885774731434
2020-05-01,2702866.9859908805,5250.794291599718,8582.854065436943
2020-05-02,2702940.4142962187,5073.4267625379625,8686.492515023856
2020-05-03,2703014.693882953,4902.264918057971,8783.12028190471
2020-05-04,2703089.7664279817,4737.058885415448,8873.038512467374
2020-05-05,2703165.576098533,4577.573657404839,8956.53204199859
2020-05-06,2703242.0694198837,4423.587606163278,9033.870870068064
2020-05-07,2703319.1951547884,4274.891192306005,9105.311443571076
2020-05-08,2703396.9041930945,4131.285843304764,9171.097775731616
2020-05-09,2703475.1494502705,3992.582977740955,9231.46242513267
2020-05-10,2703553.8857737333,3858.603154854882,9286.62735523493
2020-05-11,2703633.069856039,3729.1753315042392,9336.80469175276
2020-05-12,2703712.660154133,3604.1362110962787,9382.197392636206
2020-05-13,2703792.6168139745,3483.3296713031705,9422.999843126068
2020-05-14,2703872.9015999334,3366.6062591398304,9459.398386599536
2020-05-15,2703953.4778284654,3253.8227438383565,9491.57180013561
2020-05-16,2704034.310305625,3144.841719398017,9519.691722365562
2020-05-17,2704115.365268033,3039.531249571886,9543.92304034746
2020-05-18,2704196.6103269835,2937.7645495704564,9564.424240762564
2020-05-19,2704278.014415397,2839.419699352351,9581.34773022932
2020-05-21,2704359.547737385,2744.379384180829,9594.840128728018
