Date,Number of Current All Beds In Use,Number of All Beds Forecast,Number of Current Icu Beds In Use,Number of ICU Beds Forecast,Number of Current Ventilators In Use,Number of Ventilators Forecast
2020-03-23,51,50.0,15,16.0,6,6.0
2020-03-24,61,71.0,19,17.0,13,8.0
2020-03-25,65,88.0,18,20.0,15,10.0
2020-03-26,83,103.0,25,23.0,21,13.0
2020-03-27,91,116.0,31,26.0,27,15.0
2020-03-28,110,127.0,40,30.0,29,18.0
2020-03-29,113,135.0,41,34.0,31,21.0
2020-03-30,127,142.0,40,38.0,30,24.0
2020-03-31,127,148.0,41,42.0,32,27.0
2020-04-01,157,152.0,47,45.0,34,30.0
2020-04-02,170,155.0,50,49.0,36,33.0
2020-04-03,168,158.0,58,52.0,41,35.0
2020-04-04,169,159.0,60,55.0,42,38.0
2020-04-05,168,159.0,60,58.0,43,40.0
2020-04-06,172,159.0,65,60.0,48,42.0
2020-04-07,161,158.0,66,62.0,50,44.0
2020-04-08,166,157.0,61,64.0,48,46.0
2020-04-09,164,155.0,62,66.0,45,47.0
2020-04-10,159,153.0,70,67.0,47,49.0
2020-04-11,157,150.0,65,68.0,49,50.0
2020-04-12,155,148.0,65,69.0,48,51.0
2020-04-13,148,145.0,67,70.0,47,51.0
2020-04-14,150,141.0,61,70.0,47,52.0
2020-04-15,148,138.0,61,70.0,49,53.0
2020-04-16,146,135.0,62,70.0,47,53.0
2020-04-17,132,131.0,62,70.0,45,53.0
2020-04-18,131,128.0,61,69.0,39,53.0
2020-04-19,122,124.0,56,69.0,39,53.0
2020-04-20,125,120.0,56,68.0,37,53.0
2020-04-21,126,117.0,57,67.0,33,52.0
2020-04-22,117,113.0,50,66.0,31,52.0
2020-04-23,100,109.0,49,65.0,31,51.0
2020-04-24,92,106.0,46,64.0,26,51.0
2020-04-25,86,102.0,37,63.0,25,50.0
2020-04-26,76,99.0,34,62.0,24,49.0
2020-04-27,65,95.0,37,61.0,17,49.0
2020-04-28,66,92.0,36,59.0,16,48.0
2020-04-29,68,89.0,26,58.0,14,47.0
2020-04-30,62,85.0,24,56.0,14,46.0
2020-05-01,52,82.0,23,55.0,9,45.0
2020-05-02,50,79.0,16,54.0,6,44.0
2020-05-03,49,76.0,18,52.0,7,43.0
2020-05-04,,73.0,,51.0,,42.0
2020-05-05,,70.0,,49.0,,41.0
2020-05-06,,68.0,,48.0,,40.0
2020-05-07,,65.0,,46.0,,39.0
2020-05-08,,63.0,,45.0,,38.0
2020-05-09,,60.0,,43.0,,37.0
2020-05-10,,58.0,,42.0,,36.0
2020-05-11,,55.0,,41.0,,35.0
2020-05-12,,53.0,,39.0,,34.0
2020-05-13,,51.0,,38.0,,33.0
2020-05-14,,49.0,,37.0,,32.0
2020-05-15,,47.0,,35.0,,31.0
2020-05-16,,45.0,,34.0,,30.0
2020-05-17,,43.0,,33.0,,29.0
2020-05-18,,41.0,,32.0,,28.0
2020-05-19,,40.0,,31.0,,27.0
2020-05-20,,38.0,,29.0,,26.0
2020-05-21,,36.0,,28.0,,25.0
2020-05-22,,35.0,,27.0,,24.0
2020-05-23,,33.0,,26.0,,23.0
2020-05-24,,32.0,,25.0,,23.0
2020-05-25,,31.0,,24.0,,22.0
2020-05-26,,29.0,,23.0,,21.0
2020-05-27,,28.0,,22.0,,20.0
2020-05-28,,27.0,,22.0,,19.0
2020-05-29,,26.0,,21.0,,19.0
2020-05-30,,25.0,,20.0,,18.0
2020-05-31,,24.0,,19.0,,17.0
2020-06-01,,23.0,,18.0,,17.0
2020-06-02,,22.0,,18.0,,16.0
2020-06-03,,21.0,,17.0,,16.0
2020-06-04,,20.0,,16.0,,15.0
2020-06-05,,19.0,,16.0,,14.0
2020-06-06,,18.0,,15.0,,14.0
2020-06-07,,17.0,,14.0,,13.0
2020-06-08,,17.0,,14.0,,13.0
2020-06-09,,16.0,,13.0,,12.0
2020-06-11,,15.0,,13.0,,12.0
